[1] авария | 名词 | 事故；故障；失事
[104] некогда | 副词 | 没空；曾经（古）
[105] некоторый | 代词 | 某个；某些
[106] нравственный | 形容词 | 道德的；精神上的
[107] обещание | 名词 | 诺言；承诺
[108] обзор | 名词 | 综述；概览
[109] обладать | 动词 | 拥有；具有
[110] обобщение | 名词 | 概括；总结
[111] образование | 名词 | 教育；形成
[112] общий | 形容词 | 总的；共同的
[113] ограничение | 名词 | 限制；约束
[114] окружать | 动词 | 环绕；包围
[115] окружить | 动词 | 包围；环绕
[116] оплатить | 动词 | 支付；偿付
[117] оптимистический | 动词 | 持乐观态度；乐观的
[118] опубликовать | 动词 | 发表；公布
[119] ориентироваться | 动词 | 定位；认清方向
[120] осматривать | 动词 | 察看；参观
[121] остановка | 名词 | 车站；停顿
[122] откладывать | 动词 | 推迟；存放
[123] отличный | 形容词 | 极好的；不同的
[124] отнести | 动词 | 拿走；归因于
[125] отправлять | 动词 | 发送；派遣
[126] охранять | 动词 | 守卫；保护
[127] пассивный | 形容词 | 消极的；被动的
[128] патриотизм | 名词 | 爱国主义
[129] переключить | 动词 | 转换；切换
[130] переносить | 动词 | 忍受；搬移
[131] пересадка | 名词 | 移植；换乘
[132] перестать | 动词 | 停止；不再
[133] пессимистический | 形容词 | 悲观的
[134] петух | 名词 | 公鸡
[135] по-прежнему | 副词 | 依旧；照旧
[136] победить | 动词 | 战胜；克服
[137] поблагодарить | 动词 | 感谢；道谢
[138] поверить | 动词 | 相信；信任
[139] подавать | 动词 | 递；供给
[140] подготовить | 动词 | 准备；培训
[141] подросток | 名词 | 少年；青少年
[142] пожалуйста | 其他 | 请；劳驾
[143] пожениться | 动词 | 结婚（多人）；成婚
[144] пожилой | 形容词 | 上了年纪的
[145] позволять | 动词 | 允许；使能够
[146] познакомиться | 动词 | 认识；结识
[147] положить | 动词 | 放；放置
[148] получаться | 动词 | 得到；结果是
[149] поправлять | 动词 | 修理；纠正
[150] поражать | 动词 | 使惊讶；击中
[151] порвать | 动词 | 撕破；断绝
[152] посередине | 副词 | 在中间
[153] потрогать | 动词 | 触摸；摸一摸
[154] поцеловать | 动词 | 吻
[155] предсказать | 动词 | 预言；预测
[156] представитель | 动词 | 代表；代理人
[157] предупреждение | 名词 | 警告；预防
[158] приветствовать | 动词 | 欢迎；致意
[159] привлекательный | 形容词 | 有吸引力的
[160] принцип | 名词 | 原则；原理
[161] продлевать | 动词 | 延长；延期
[162] прозрачный | 形容词 | 透明的；清澈的
[163] произвести | 动词 | 进行；生产
[164] производить | 动词 | 生产；制造
[165] происшествие | 名词 | 事件；事故
[166] просить | 动词 | 请求；请
[167] просторный | 形容词 | 宽敞的
[168] профессор | 名词 | 教授
[169] путь | 名词 | 路；途径
[170] равнодушный | 形容词 | 冷漠的；无动于衷的
[171] равный | 形容词 | 相等的；平等的
[172] разбивать | 动词 | 打破；击碎
[173] раздевать | 动词 | 脱衣服；脱…的衣服
[174] разделить | 动词 | 分；划分
[175] разлучить | 动词 | 使分离；拆散
[176] разорвать | 动词 | 撕碎；断绝
[177] рассыпать | 动词 | 撒落；散开
[178] реальный | 形容词 | 现实的；真实的
[179] ребята | 名词 | 孩子们；小伙子们
[180] решительный | 形容词 | 坚决的；果断的
[181] рождение | 名词 | 出生；诞生
[182] рот | 名词 | 嘴；口
[183] сад | 名词 | 花园；果园
[184] сберечь | 动词 | 保存；爱护
[185] свежий | 形容词 | 新鲜的；清新的
[186] связать | 动词 | 捆；联系
[187] сериал | 名词 | 电视连续剧
[188] сибирский | 形容词 | 西伯利亚的
[189] симпатичный | 形容词 | 讨人喜欢的；漂亮的
[190] складывать | 动词 | 折叠；组成
[191] следовательно | 副词 | 因此；所以
[192] слово | 名词 | 词；话
[193] сложить | 动词 | 叠；加；放下
[194] служить | 动词 | 服务；任职
[195] сначала | 副词 | 起初；首先
[196] собраться | 动词 | 聚集；准备好
[197] сократить | 动词 | 缩短；裁减
[198] сокращение | 名词 | 缩短；缩写
[199] солдат | 名词 | 士兵
[200] спектакль | 名词 | 戏剧；演出
[201] спросить | 动词 | 问；询问
[202] спрятать | 动词 | 藏；隐藏
[203] старание | 名词 | 努力；勤奋
[204] старинный | 形容词 | 古老的；古式的
[205] статья | 名词 | 文章；条款
[206] строительство | 名词 | 建设；建筑
[207] сын | 名词 | 儿子
[208] сыр | 名词 | 奶酪
[209] тезис | 名词 | 论点；提纲
[210] тень | 名词 | 阴影；荫
[211] типичный | 形容词 | 典型的
[212] тихий | 形容词 | 安静的；轻声的
[213] точка | 名词 | 点；句号
[214] уважаемый | 形容词 | 受尊敬的；亲爱的
[215] увольняться | 动词 | 辞职；离职
[216] удача | 名词 | 成功；好运
[217] удачный | 形容词 | 成功的；顺利的
[218] уложить | 动词 | 安放；打包
[219] уменьшиться | 动词 | 减少；缩小
[220] умереть | 动词 | 死；去世
[221] уметь | 动词 | 会；能够
[222] унести | 动词 | 拿走；带走
[223] уносить | 动词 | 拿走；带走
[224] упражнение | 名词 | 练习；锻炼
[225] уровень | 名词 | 水平；程度
[226] усталость | 名词 | 疲劳；疲倦
[227] утверждение | 名词 | 确认；论点
[228] утро | 名词 | 早晨
[229] утром | 副词 | 在早晨
[230] ученый | 形容词 | 科学的；学者的
[231] учитель | 名词 | 老师；教师
[232] фен | 名词 | 吹风机
[233] формировать | 动词 | 形成；组建
[234] француз | 名词 | 法国人
[235] французский | 形容词 | 法国的
[236] хвалить | 动词 | 称赞；夸奖
[237] хватать | 动词 | 抓；足够
[238] холодильник | 名词 | 冰箱
[239] царь | 名词 | 沙皇；皇帝
[240] целовать | 动词 | 吻
[241] целый | 形容词 | 整个的；完整的
[242] четыре | 数词 | 四
[243] четыреста | 数词 | 四百
[244] чтение | 名词 | 阅读；读书
[245] шапка | 名词 | 帽子
[246] щедрый | 形容词 | 慷慨的；丰厚的
[247] экология | 名词 | 生态（学）
[248] экономить | 动词 | 节省；节约
[249] экономический | 形容词 | 经济的
[250] экономный | 形容词 | 节约的；经济的
[251] аббат | 名词 | 修道院院长；神父
[252] адрес | 名词 | 地址
[253] адресоваться | 动词 | 寄给；致（信）
[254] акклиматизация | 名词 | 服水土；气候适应
[255] амур | 名词 | 阿穆尔河（黑龙江）；爱神
[256] антология | 名词 | 文选；选集
[257] архивариус | 名词 | 档案管理员
[258] балда | 名词 | 傻瓜；粗笨木玩具
[259] бали | 名词 | 巴厘（地名，待核）
[260] баловать | 动词 | 宠爱；溺爱
[261] барельеф | 名词 | 浮雕
[262] бега | 名词 | 赛马；奔跑（复数）
[263] безнравственность | 名词 | 不道德
[264] безразлично | 副词 | 漠不关心地；无所谓
[265] безымянный | 形容词 | 无名的；匿名
[266] белоколонный | 形容词 | 白柱的；列柱的
[267] белые | 名词 | 白军；白方
[268] бельгия | 专有名词 | 比利时
[269] бессмысленно | 副词 | 无意义地；徒劳地
[270] бесстрастный | 形容词 | 冷漠的；无动于衷的
[271] билет | 名词 | 票；证
[272] благодарственный | 形容词 | 感谢的；致谢的
[273] благородно | 副词 | 高尚地
[274] блаженство | 名词 | 极乐；幸福
[275] близкие | 名词 | 亲人；亲近的人
[276] больше | 副词 | 更；较大
[277] больший | 形容词 | 较大的；更大的
[278] боров | 名词 | 阉猪；烟道
[279] брезжить | 动词 | 微微发亮；闪烁
[280] броненосец | 名词 | 装甲舰；战列舰
[281] брюхо | 名词 | 腹；肚子
[282] будильник | 名词 | 闹钟
[283] будоражить | 动词 | 使不安；搅动
[284] буйный | 形容词 | 狂暴的；茂盛的
[285] было | 动词 | 曾是；过去（中性）
[286] быль | 名词 | 往事；真事
[287] быстро | 副词 | 快；迅速地
[288] ван | 名词 | 万（中国姓氏/音译，待核）
[289] варьете | 名词 | 综艺；杂耍剧场
[290] вдохновляться | 动词 | 受鼓舞；获得灵感
[291] вексель | 名词 | 票据；期票
[292] великое | 形容词 | 伟大的；宏大的（中性）
[293] верный | 形容词 | 忠实的；正确的
[294] вероятно | 副词 | 大概；或许
[295] верстак | 名词 | 工作台
[296] верховой | 形容词 | 骑马的；在上的
[297] взаимосвязанный | 形容词 | 相互关联的
[298] взваливать | 动词 | 把…扛上；推卸
[299] взыскание | 名词 | 追索；处罚
[300] видимо | 副词 | 显然；看来
[301] вилла | 名词 | 别墅
[302] винительный | 形容词 | 宾格的（第四格）
[303] включить | 动词 | 打开；包括
[304] вкусно | 副词 | 好吃地；美味地
[305] властелин | 名词 | 统治者；主宰
[306] вложение | 名词 | 投入；投资；附件
[307] вм | 其他 | 词形残缺，待人工核对
[308] внука | 名词 | 孙女；外孙女
[309] внуков | 名词 | 孙辈的（属格）
[310] во-первых | 副词 | 第一；首先
[311] вод | 名词 | 水（属格复数）
[312] водиться | 动词 | 有；饲养；习惯
[313] водянистый | 形容词 | 水汪汪的；稀薄的
[314] воедино | 副词 | 合而为一；统一地
[315] возбуждаться | 动词 | 激动；兴奋；被激发
[316] возвратный | 形容词 | 返回的；反身的
[317] возвысить | 动词 | 提高；提升
[318] возвышенный | 形容词 | 高尚的；高耸的
[319] воздвигнуть | 动词 | 建立；树立
[320] воззрение | 名词 | 观点；看法
[321] возложение | 名词 | 献；放置；委托
[322] возможно | 副词 | 可能；也许
[323] возрастной | 形容词 | 年龄的；按年龄的
[324] воинственный | 形容词 | 好战的；尚武的
[325] вол | 名词 | 阉牛；犍牛
[326] волей | 名词 | 意志（工具格）
[327] вонючий | 形容词 | 臭的；发臭的
[328] вороной | 形容词 | 乌黑的（指马）
[329] ворот | 名词 | 领口；闸门
[330] восхождение | 名词 | 攀登；上升
[331] впечатляющий | 形容词 | 令人印象深刻的
[332] временами | 副词 | 有时；偶尔
[333] время | 名词 | 时间；时节
[334] всплывать | 动词 | 浮起；浮现
[335] всякое | 代词 | 一切；各种（中性）
[336] второй | 数词 | 第二
[337] вулканический | 形容词 | 火山的
[338] входной | 形容词 | 入口的；进门的
[339] входящий | 形容词 | 进入的； incoming
[340] вчитываться | 动词 | 细读；潜心读
[341] выбивать | 动词 | 打下；敲出
[342] вывесить | 动词 | 挂出；公布
[343] выдвигаться | 动词 | 向前移动；脱颖而出
[344] выделывать | 动词 | 制作；作（怪相）
[345] выжидать | 动词 | 等待；伺机
[346] выкупить | 动词 | 赎回；赎买
[347] выпал | 动词 | 掉落；脱落（过去时）
[348] выпроваживать | 动词 | 打发走；送走
[349] выраженный | 形容词 | 明显的；被表达的
[350] вырваться | 动词 | 挣脱；冲出
[351] вырубка | 名词 | 砍伐；砍伐区
[352] выслать | 动词 | 寄出；驱逐
[353] выслуга | 名词 | 功龄；服役年限
[354] выстраивать | 动词 | 建造；排列
[355] выстроить | 动词 | 建成；排好
[356] высь | 名词 | 高空；苍穹
[357] выявить | 动词 | 揭示；查明
[358] вязь | 名词 | 花体字；交织
[359] вяло | 副词 | 萎靡地；迟钝地
[360] газа | 专有名词 | 加沙（地名）
[361] геральдика | 名词 | 纹章学
[362] герцог | 名词 | 公爵
[363] гироскоп | 名词 | 陀螺仪；回旋仪
[364] главное | 名词 | 主要之事；要点
[365] глубоководный | 形容词 | 深水的
[366] го | 其他 | 词形残缺，待人工核对
[367] говорить | 动词 | 说；讲话
[368] голодание | 名词 | 挨饿；禁食
[369] голодный | 形容词 | 饥饿的
[370] гомон | 名词 | 嘈杂声；喧哗
[371] гончар | 名词 | 陶工
[372] гор | 名词 | 山（属格复数）
[373] гравировка | 名词 | 雕刻；蚀刻
[374] грань | 名词 | 边缘；界限；面
[375] грациозно | 副词 | 优雅地
[376] гребенщик | 名词 | 柽柳；制梳人
[377] грибов | 名词 | 蘑菇（属格复数）
[378] гроза | 名词 | 雷雨；威胁
[379] давида | 专有名词 | 达维德（属格）
[380] давненько | 副词 | 许久；好久（口语）
[381] данный | 代词 | 该；此；给定的
[382] дательный | 形容词 | 与格的（第三格）
[383] два-три | 数词 | 两三个
[384] двойник | 名词 | 替身；双倍体
[385] дворик | 名词 | 小院；院子
[386] дворцовый | 形容词 | 宫殿的
[387] девиза | 名词 | 箴言；座右铭（属格）
[388] дедов | 形容词 | 祖父的（属格）
[389] декорировать | 动词 | 装饰
[390] дерзость | 名词 | 放肆；勇敢
[391] десерт | 名词 | 甜点
[392] десятью | 数词 | 十倍；用十
[393] джин | 名词 | 金酒；精灵
[394] диаметрально | 副词 | 截然；直径地
[395] диета | 名词 | 饮食；食疗
[396] дико | 副词 | 野蛮地；极度（口语）
[397] диод | 名词 | 二极管
[398] диссертация | 名词 | 学位论文
[399] днями | 名词 | 近日；日子（工具格）
[400] добавляться | 动词 | 被添加；增加
[401] добропорядочный | 形容词 | 正派的；规矩的
[402] добросовестно | 副词 | 认真地；尽职地
[403] дозор | 名词 | 巡逻；哨兵
[404] докладная | 名词 | 呈报；报告书
[405] докладной | 形容词 | 报告的；呈报的
[406] доктор | 名词 | 医生；博士
[407] документ | 名词 | 文件；证件
[408] долгов | 名词 | 债务（属格复数）
[409] должное | 名词 | 应得；本分
[410] домовый | 形容词 | 家的；房屋的
[411] дополнительно | 副词 | 额外地；补充地
[412] доска | 名词 | 板；黑板
[413] доставка | 名词 | 送达；配送
[414] дощатый | 形容词 | 木板的；板制的
[415] др | 其他 | 词形残缺，待人工核对
[416] древесина | 名词 | 木材；木质
[417] древние | 形容词 | 古代的；古人
[418] дружба | 名词 | 友谊
[419] дружески | 副词 | 友好地
[420] дуновение | 名词 | 吹拂；微风
[421] дуралей | 名词 | 傻瓜；笨蛋
[422] духов | 名词 | 精神（属格复数）
[423] духовная | 形容词 | 精神的；心灵的（阴性）
[424] душистый | 形容词 | 芬芳的
[425] дымный | 形容词 | 冒烟的；烟的
[426] дымовой | 形容词 | 烟的；火警的
[427] дымчатый | 形容词 | 烟灰色的；朦胧的
[428] единственно | 副词 | 唯一地；仅仅
[429] жалование | 名词 | 薪俸；抱怨
[430] жарко | 副词 | 热；炎热
[431] жильцов | 名词 | 房客（属格）
[432] жрец | 名词 | 祭司
[433] жуков | 名词 | 甲虫（属格）；茹科夫（属格）
[434] заводь | 名词 | 小河湾；支流
[435] загадать | 动词 | 占卜；许愿
[436] заготавливать | 动词 | 采购；储备
[437] задаваться | 动词 | 自定；自问
[438] задумчивость | 名词 | 沉思；忧郁
[439] зажить | 动词 | 开始生活；愈合
[440] зайцев | 名词 | 兔子（属格）；扎伊采夫（属格）
[441] заколдованный | 形容词 | 被施魔法的；着魔的
[442] закрытие | 名词 | 关闭；闭幕
[443] зала | 名词 | 大厅（属格）
[444] заманить | 动词 | 诱入；引诱
[445] замедлить | 动词 | 放慢；延缓
[446] заметно | 副词 | 明显地；可见
[447] замещение | 名词 | 替代；置换
[448] заносить | 动词 | 拿来；登记；使骄傲
[449] запечатлевать | 动词 | 铭刻；描绘
[450] запечатлеть | 动词 | 记下；使永存
[451] запираться | 动词 | 锁上；否认
[452] заплыть | 动词 | 游进；发胖
[453] заповедь | 名词 | 诫命；箴言
[454] запросто | 副词 | 轻易地；随便地
[455] зарождение | 名词 | 萌芽；产生
[456] зарплата | 名词 | 工资
[457] зарядка | 名词 | 充电；体操
[458] зарядный | 形容词 | 充电的；平庸的
[459] засыпать | 动词 | 入睡；撒满
[460] затереть | 动词 | 擦掉；磨灭
[461] заявитель | 名词 | 申请人；声明人
[462] звучный | 形容词 | 响亮的；悦耳的
[463] злобствовать | 动词 | 怀恨；恶意攻击
[464] значимость | 名词 | 重要性；意义
[465] значит | 动词 | 意味着；即是
[466] зубец | 名词 | 齿；城垛
[467] ибн | 其他 | 伊本（阿拉伯父名标记）
[468] игорный | 形容词 | 赌博的
[469] игрушечный | 形容词 | 玩具的；幼稚的
[470] избрание | 名词 | 选举；选出
[471] издревле | 副词 | 自古以来
[472] изломанный | 形容词 | 折断的；扭曲的
[473] изобиловать | 动词 | 富有；充满
[474] изыскать | 动词 | 寻得；探明
[475] именной | 形容词 | 记名的；名义的
[476] ин | 其他 | 词形残缺，待人工核对
[477] индивид | 名词 | 个人；个体
[478] интерпретация | 名词 | 阐释；解读
[479] инф | 其他 | 缩写：不定式，待核
[480] ирован | 其他 | 被动形动词词干，待核
[481] искаженный | 形容词 | 歪曲的；变形的
[482] источниковедение | 名词 | 史料学
[483] исчислять | 动词 | 计算；列举
[484] ить | 其他 | 词形残缺，不定式词尾
[485] кадровый | 形容词 | 干部的；人员的
[486] кажущийся | 形容词 | 表面的；似乎的
[487] казачок | 名词 | 小哥萨克；哥萨克舞
[488] календарь | 名词 | 日历
[489] калька | 名词 | 描图；仿造词
[490] камыш | 名词 | 芦苇
[491] кануть | 动词 | 沉没；消逝
[492] карат | 名词 | 克拉（重量）；卡腊特
[493] картина | 名词 | 画；景象
[494] карьер | 名词 | 采石场；职场
[495] каталог | 名词 | 目录
[496] категорически | 副词 | 断然地；绝对地
[497] каша | 名词 | 粥；混乱
[498] квалифицировать | 动词 | 评定；使具备资格
[499] квартирный | 形容词 | 住宅的；公寓的
[500] кг | 名词 | 千克（缩写）
[501] километр | 名词 | 千米
[502] кишечник | 名词 | 肠；肠道
[503] классики | 名词 | 经典作家；经典（复数）
[504] клеймить | 动词 | 打烙印；谴责
[505] клише | 名词 | 陈词滥调；铅版
[506] княжеский | 形容词 | 公爵的；王公的
[507] кода | 名词 | 尾声；尾奏
[508] кожевенный | 形容词 | 制革的
[509] кожный | 形容词 | 皮肤的；南方的
[510] козлы | 名词 | 公山羊（复数）；木马架
[511] колесный | 形容词 | 轮式的；有轮的
[512] колкий | 形容词 | 刺人的；尖刻的
[513] кон | 名词 | 局；回合（待核）
[514] конечно | 副词 | 当然；无疑
[515] коробок | 名词 | 小盒；纸盒
[516] королевский | 形容词 | 国王的；王室的
[517] костный | 形容词 | 骨的；骨质的
[518] костра | 名词 | 麻屑；篝火（属格）
[519] костяной | 形容词 | 骨制的
[520] краеведение | 名词 | 地方志；方志学
[521] красота | 名词 | 美；美丽
[522] круто | 副词 | 陡；彻底；很
[523] крыть | 动词 | 覆盖；盖（瓦）
[524] куба | 专有名词 | 古巴
[525] кубань | 专有名词 | 库班（地名）
[526] курган | 名词 | 古冢；丘陵
[527] лавр | 名词 | 月桂；荣誉
[528] лада | 名词 | 和谐；拉达
[529] ладный | 形容词 | 整齐的；匀称的
[530] ладья | 名词 | 船；车（国际象棋）
[531] лама | 名词 | 喇嘛；羊驼
[532] лаос | 专有名词 | 老挝
[533] легкомыслие | 名词 | 轻率
[534] ледниковый | 形容词 | 冰川的
[535] лежа | 副词 | 躺着；卧着
[536] лей | 名词 | 列伊（货币，待核）
[537] лекторий | 名词 | 讲演厅；讲座
[538] лена | 专有名词 | 列娜；勒拿河
[539] леса | 名词 | 森林（属格）；脚手架
[540] лета | 名词 | 岁月；年岁
[541] лиходей | 名词 | 恶人；凶徒
[542] личной | 形容词 | 个人的
[543] логически | 副词 | 逻辑上
[544] ломонос | 名词 | 铁线莲（植物）
[545] лунь | 名词 | 鸢（鸟）；老鹰
[546] любезно | 副词 | 客气地；殷勤地
[547] любовно | 副词 | 充满爱地；精心地
[548] любознательность | 名词 | 求知欲
[549] любящий | 形容词 | 充满爱的；亲爱的
[550] люд | 名词 | 人们；民众
[551] майя | 专有名词 | 玛雅（民族/人名）
[552] макет | 名词 | 模型；样机
[553] маленькая | 形容词 | 小的；年幼的（阴性）
[554] малое | 名词 | 小事；微末
[555] малоизвестный | 形容词 | 鲜为人知的
[556] манер | 名词 | 风度；方式
[557] манускрипт | 名词 | 手稿
[558] марку | 名词 | 邮票（属格）；马克（属格）
[559] массировать | 动词 | 按摩；集中
[560] мастерский | 形容词 | 技艺精湛的；师傅的
[561] мастерство | 名词 | 技艺；手艺
[562] маш | 其他 | 词形残缺，待人工核对
[563] машин | 名词 | 机器（属格复数）
[564] мая | 专有名词 | 五月（属格）；马亚
[565] мелочной | 形容词 | 琐碎的；小气的
[566] меморандум | 名词 | 备忘录
[567] местечко | 名词 | 小地方；小镇
[568] миграционный | 形容词 | 移民的；迁徙的
[569] мин | 名词 | 分（分钟缩写，待核）
[570] минувший | 形容词 | 过去的；以往的
[571] мирской | 形容词 | 世俗的；尘世的
[572] мишура | 名词 | 箔；虚饰
[573] млечный | 形容词 | 乳白的；银河的
[574] много | 副词 | 多；许多
[575] моделирование | 名词 | 建模；模拟
[576] может | 动词 | 能够；也许
[577] молекулярный | 形容词 | 分子的
[578] молодая | 名词 | 新娘；年轻女子
[579] молодец | 名词 | 好样儿的；小伙子
[580] молодые | 名词 | 新婚夫妇；年轻人
[581] молока | 名词 | 乳汁（属格）
[582] монарх | 名词 | 君主
[583] монастырский | 形容词 | 修道院的
[584] мороженый | 形容词 | 冰冻的；冰淇淋的
[585] мороз | 名词 | 霜冻；严寒
[586] москва | 专有名词 | 莫斯科
[587] мостить | 动词 | 铺砌；铺设
[588] мусорщик | 名词 | 清洁工；垃圾工
[589] муть | 名词 | 浑浊；胡说
[590] мятежный | 形容词 | 叛乱的；好斗的
[591] наверное | 副词 | 大概；想必
[592] наглость | 名词 | 厚颜；无礼
[593] наградной | 形容词 | 奖励的；奖章的
[594] наградные | 名词 | 奖金；赏金
[595] награждение | 名词 | 授奖；嘉奖
[596] накапливать | 动词 | 积累；积蓄
[597] наложить | 动词 | 放上；施加；征收
[598] наперекор | 副词 | 违拗；相反
[599] написание | 名词 | 写法；书写
[600] наполняться | 动词 | 充满；装满
