序号	词形	词元	词性
327	обобщенно-личное	обобщенно-личный	形容词
328	обрусевают	обрусевать	动词
329	обществием	обществие	名词
330	общефактическое	общефактический	形容词
331	одаренно-стью	одаренно-сть	名词
332	однокоренных	однокоренной	形容词
333	однократность	однократность	名词
334	ое	ое	
335	оеетя	оеести	动词
336	ойстраха	ойстрах	名词
337	окну	окну	
338	онлайн	онлайн	副词
339	онлайн-марафон	онлайн-марафон	名词
340	оо	оо	
341	оооооооооеоооооооооееоооеоееоооеоеоеооеоеоеоеооеоеоевоове	оооооооооеоооооооооееоооеоееоооеоеоеооеоеоеоеооеоеоевоов	名词
342	определительно-обстоятельственные	определительно-обстоятельственный	形容词
343	определительности	определительность	名词
344	опровержгните	опровержгнуть	动词
345	опровержните	опровержать	动词
346	оренбургской	оренбургский	形容词
347	оро	оро	
348	отбирались	отбираться	动词
349	отделяет	отделяет	
350	откорректировать	откорректировать	动词
351	отношенческий	отношенческий	形容词
352	отрисовать	отрисовать	动词
353	отснятый	отснять	动词
354	отучивать	отучивать	动词
355	отыщется	отыскаться	动词
356	офисный	офисный	形容词
357	охотку	охотка	名词
358	охранялись	охраняться	动词
359	параллельности	параллельность	名词
360	партнерских	партнерский	形容词
361	партнерство	партнерство	名词
362	парфенона	парфенона	名词
363	пашь	пашь	名词
364	пергамского	пергамский	形容词
365	переводимый	переводимый	
366	передаваемым	передаваемый	形容词
367	пережавал	пережавал	名词
368	пересдать	пересдать	动词
369	перефразирование	перефразирование	名词
370	петербургс	петербургс	名词
371	печат	печат	名词
372	планируется	планироваться	动词
373	пластизолевые	пластизолевый	形容词
374	по-рнек	по-рнек	名词
375	побороться	побороться	动词
376	поглощаются	поглощаться	动词
377	поделывать	поделывать	动词
378	подзарядиться	подзарядиться	动词
379	подкабличник	подкабличник	名词
380	подмосковные	подмосковные	
381	подомоги	подомочь	动词
382	подпорных	подпорный	形容词
383	подпывать	подпывать	动词
384	подтвердите	подтвердите	
385	подчеркиваться	подчеркиваться	动词
386	позвращайся	позвращаться	动词
387	позиционирует	позиционировать	动词
388	полилог	полилог	名词
389	полуподвальном	полуподвальный	形容词
390	получением	получением	
391	пользовательских	пользовательский	形容词
392	помечтать	помечтать	动词
393	помирить	помирить	动词
394	понадо	понадо	名词
395	поощряется	поощряться	动词
396	послешкольное	послешкольный	形容词
397	поставляется	поставляться	动词
398	постец	постец	名词
399	постпозиции	постпозиция	名词
400	поступ	поступ	
401	потрясающе	потрясающе	副词
402	поубивало	поубивать	动词
403	поумев	поуметь	动词
404	пр	пр	形容词
405	правлять	правлять	名词
406	прагматик	прагматик	名词
407	преве	прев	名词
408	предвидятся	предвидеться	动词
409	предл	предло	名词
410	предлагается	предлагаться	动词
411	предложно-падежная	предложно-падежный	形容词
412	предновогодние	предновогодний	形容词
413	предполагается	предполагаться	动词
414	представю	представю	名词
415	предшествования	предшествование	名词
416	пресвятой	пресвятой	形容词
417	преследовались	преследоваться	动词
418	пресненский	пресненский	形容词
419	приватности	приватность	名词
420	привозятся	привозиться	动词
421	приглашаются	приглашаться	动词
422	придержаться	придержаться	动词
423	примочи	примочить	动词
424	приобретались	приобретаться	动词
425	причино-следственная	причино-следственный	形容词
426	провождения	провождение	名词
427	прожигания	прожигание	名词
428	производятся	производиться	动词
429	пролистывания	пролистывание	名词
430	промодулируем	промодулировать	动词
431	проникший	проникший	
432	простачка	простачка	名词
433	протестировать	протестировать	动词
434	противопоставительно-сопоставительным	противопоставительно-сопоставительный	形容词
435	противопоставляются	противопоставляться	动词
436	профинансировал	профинансировать	动词
437	профит	профит	名词
438	прояснять	прояснять	动词
439	прутков	прутков	
440	пруткова	пруткова	
441	публикуется	публиковаться	动词
442	путешествии	путешествии	
443	пуффф	пуффф	名词
444	работалось	работаться	动词
445	работодателье	работодателье	名词
446	равненна	равненный	形容词
447	радиоотходов	радиоотход	名词
448	радиопрограмма	радиопрограмма	名词
449	развеивание	развеивание	名词
450	разграничиваются	разграничиваться	动词
451	разместится	разместиться	动词
452	рамрофила	рамрофил	名词
453	рани	рань	名词
454	раскрепощенным	раскрепостить	动词
455	расползание	расползание	名词
456	рассеянности	рассеянность	名词
457	рассматриваться	рассматриваться	动词
458	регулярн	регулярн	名词
459	результативность	результативность	名词
460	рекрутинговых	рекрутинговый	形容词
461	релаксация	релаксация	名词
462	рениях	рений	名词
463	репродуктивного	репродуктивный	形容词
464	реску	реску	
465	ретрокино	ретрокино	名词
466	речевого	речевого	
467	рической	рическа	名词
468	романа-эпопеи	роман-эпопея	名词
469	ромир	ромиро	名词
470	роскосмоса	роскосмос	名词
471	российско-французский	российско-французский	形容词
472	росстандарт	росстандарт	名词
473	ростовчанин	ростовчанин	名词
474	рочит	рочить	动词
475	рросеед	рросеед	名词
476	руб	руб	名词
477	рукотворные	рукотворный	形容词
478	садовое	садовое	
479	самовыражаться	самовыражаться	动词
480	самовыразиться	самовыразиться	动词
481	самоироничных	самоироничный	形容词
482	самопрезентация	самопрезентация	名词
483	саморазвитие	саморазвитие	名词
484	саморазогревающиеся	саморазогреваться	动词
485	самореализация	самореализация	名词
486	самосовершенствование	самосовершенствование	名词
487	санкт-петербургского	санкт-петербургский	形容词
488	санчо	санчо	名词
489	сарториус	сарториус	名词
490	северсталь	северсталь	名词
491	сельхозпроизводителя	сельхозпроизводитель	名词
492	серафима	серафима	
493	середнячок	середнячок	名词
494	сигурда	сигурд	名词
495	синтаксически	синтаксически	副词
496	сиротаами	сиротаа	名词
497	ситникова	ситниковый	形容词
498	скверд	скверд	名词
499	скол	скол	名词
500	скомпенсировать	скомпенсировать	动词
501	следником	следник	名词
502	сленга	сленг	名词
503	сложноподчиненного	сложноподчиненный	形容词
504	сложносочиненное	сложносочиненный	形容词
505	служебно-розыскные	служебно-розыскной	形容词
506	смоленская	смоленский	形容词
507	снаут	снаут	名词
508	снизилась	снизиться	动词
509	собира	собира	名词
510	совместность	совместность	名词
511	создающие	создающие	
512	сокурсницу	сокурсница	名词
513	солнцезащитный	солнцезащитный	形容词
514	сомнени	сомненить	动词
515	соотнесение	соотнесение	名词
516	сопоставительное	сопоставительный	形容词
517	сопоставляется	сопоставляться	动词
518	соседку-пенсионерку	соседка-пенсионерка	名词
519	соцзащиты	соцзащита	名词
520	соцпакет	соцпакет	名词
521	спасо-преображенского	спасо-преображенский	形容词
522	спбгу	спбгу	名词
523	спецполосе	спецполоса	名词
524	спится	спаться	动词
525	спортсменов-дайверов	спортсмен-дайвер	名词
526	среднесрочной	среднесрочный	形容词
527	сретенский	сретенский	形容词
528	ставились	ставиться	动词
529	стагнирует	стагнировать	动词
530	станцевали	станцевать	动词
531	стеклообои	стеклообои	名词
532	стилистически	стилистически	
533	столбизма	столбизм	名词
534	столбистами	столбист	名词
535	столбистов	столбистовый	形容词
536	стран-участниц	страна-участница	名词
537	стро	стро	副词
538	структурно-семантические	структурно-семантический	形容词
539	стульчиках	стульчик	名词
540	судьбоносный	судьбоносный	形容词
541	суперпрестижной	суперпрестижный	形容词
542	схематически	схематически	副词
543	считывается	считываться	动词
544	сяомину	сяомина	名词
545	тадж-махал	тадж-махать	动词
546	тактом	тактом	
547	тв	тв	名词
548	тво	тво	
549	телеканал	телеканал	名词
550	телекоммуникационная	телекоммуникационный	形容词
551	телепрограмме	телепрограмма	名词
552	телешоу	телешоу	名词
553	тестаччо	тестаччо	名词
554	тестовом	тестовый	形容词
555	техногенными	техногенный	形容词
556	техноком	технок	名词
557	технологичным	технологичный	形容词
558	технопарки	технопарк	名词
559	технопром	технопром	名词
560	техносервис	техносервис	名词
561	типологический	типологический	形容词
562	тиража	тиража	
563	титулованной	титуловать	动词
564	тического	тический	形容词
565	товарооборотом	товарооборот	名词
566	толерантность	толерантность	名词
567	тонельный	тонельный	形容词
568	тоннельный	тоннельный	形容词
569	топ-менеджеры	топ-менеджер	名词
570	точечно	точечный	形容词
571	трансгенных	трансгенный	形容词
572	транслируются	транслироваться	动词
573	трансфер	трансфер	名词
574	трахаться	трахаться	动词
575	тренажерных	тренажерный	形容词
576	тренд	тренд	名词
577	трехсотлетие	трехсотлетие	
578	триллер	триллер	名词
579	трудоголиком	трудоголик	名词
580	тунисского	тунисский	形容词
581	турагентства	турагентство	名词
582	турфирму	турфирма	名词
583	тэффи	тэффи	名词
584	угораздило	угораздить	动词
585	уделяться-уделиться	уделяться-уделиться	动词
586	удивленными	удивленными	
587	указывается	указываться	动词
588	уничтожаются	уничтожаться	动词
589	управленец	управленец	名词
590	управлени	управлень	名词
591	успокаивающе	успокаивающе	副词
592	устальные	устальной	形容词
593	устар	устарый	形容词
594	ут	ут	
595	утнетенной	утнетенный	形容词
596	учебно-тренировочные	учебно-тренировочный	形容词
597	уш	уш	
598	фабричонка	фабричонка	名词
599	факсимильное	факсимильный	形容词
600	фатх-али-шах	фатх-али-ша	名词
601	феррара	феррар	名词
602	финансово	финансово	副词
603	фотоматериалов	фотоматериал	名词
604	фрилансеров	фрилансер	名词
605	футуролог	футуролог	名词
606	футурологическое	футурологический	形容词
607	халявщики	халявщик	名词
608	харизматические	харизматический	形容词
609	хип-хоп-проект	хип-хоп-проект	名词
610	хитрук	хитрук	
611	хорьковой	хорьковый	形容词
612	христианские	христианские	
613	хэйлунцзянского	хэйлунцзянский	形容词
614	хэппи	хэппи	名词
615	цвай	цвать	动词
616	ценносте	ценност	名词
617	ценовой	ценовой	形容词
618	человеком-тружеником	человек-труженик	名词
619	челябинской	челябинский	形容词
620	ченслером	ченслер	名词
621	четырехдневный	четырехдневный	形容词
622	чеховским	чеховский	形容词
623	чудненько	чудненький	形容词
624	чудь	чудь	名词
625	чьем-либо	чей-либо	形容词
626	шаляпин	шаляпин	
627	шая	шая	
628	шейпинговых	шейпинговый	形容词
629	шестидесятник	шестидесятник	名词
630	шуган	шугать	动词
631	ыми	ыми	
632	ых	ых	
633	ьажнераралюблдиетваодрубудет	ьажнераралюблдиетваодрубыть	动词
634	эгль	эгль	名词
635	эгля	эголь	名词
636	эквиваленты	эквиваленты	
637	экономически	экономически	副词
638	эмпатия	эмпатия	名词
639	энды	энд	名词
640	энер	энер	名词
641	энциклопедически	энциклопедически	副词
642	эпатажем	эпатаж	名词
643	эты	эты	
644	юзерам	юзер	名词
645	яндекс	яндекс	名词
646	ясы	яс	名词
