[1] государь | 名词 | 君主；沙皇（旧称）；陛下（尊称）
[80] изгнать | 动词 | 驱逐；流放
[81] измена | 名词 | 背叛；变节；不忠
[82] индийскийокеан | 专有名词 | 印度洋（Индийский океан）
[83] исправный | 形容词 | 完好的；正常的；勤恳的
[84] испытательныйсрок | 名词 | 试用期（испытательный срок）
[85] истолкование | 名词 | 解释；说明
[86] исчезнуть | 动词 | 消失；失踪
[87] йога | 名词 | 瑜伽
[88] карета | 名词 | 马车；四轮轿式马车
[89] катить | 动词 | 滚动；推（车）
[90] кашлять | 动词 | 咳嗽
[91] кинокомедия | 名词 | 喜剧片（кино-комедия）
[92] колено | 名词 | 膝；膝盖；弯头
[93] колючий | 形容词 | 刺人的；多刺的；尖刻的
[94] компактный | 形容词 | 紧凑的；小巧的
[95] комсомол | 专有名词 | 共青团（苏联列宁共产主义青年团）
[96] комфортабельный | 形容词 | 舒适的；设备完善的
[97] консистенция | 名词 | 稠度；浓度；质地
[98] котлета | 名词 | 肉饼；炸肉排
[99] кпк | 专有名词 | 中国共产党（亦指掌上电脑 PDA，缩写多义，待核）
[100] крайность | 名词 | 极端；极端行为
[101] красивее | 副词 | 更美；比较漂亮
[102] краснаяплощадь | 专有名词 | 红场（Красная площадь）
[103] кредитнаякарточка | 名词 | 信用卡（кредитная карточка）
[104] крепче | 副词 | 更牢固；更结实；更厉害
[105] круглосуточный | 形容词 | 昼夜不停的；24小时的
[106] лачуга | 名词 | 茅屋；陋室
[107] лгать | 动词 | 撒谎；说谎
[108] легче | 副词 | 更容易；更轻
[109] лестный | 形容词 | 令人高兴的；奉承的
[110] лоян | 专有名词 | 洛阳（中国城市，Лоян）
[111] матрица | 名词 | 矩阵；模版；母版
[112] меньше | 副词 | 更少；较小
[113] минеральнаявода | 名词 | 矿泉水（минеральная вода）
[114] миновать | 动词 | 绕过；避免；经过
[115] миссисипи | 专有名词 | 密西西比（河/州）
[116] мм | 数词 | 毫米（缩写，миллиметр）
[117] можетбыть | 副词 | 也许；可能（может быть）
[118] моложе | 形容词 | 更年轻；较年轻
[119] мягче | 副词 | 更软；更柔和
[120] наверстать | 动词 | 弥补；补上（耽误的）
[121] надавить | 动词 | 按；压；施加压力
[122] напоить | 动词 | 给…喝；灌醉
[123] нараспашку | 副词 | 敞着（穿）；敞开地
[124] нарастать | 动词 | 增长；积聚；增强
[125] начисто | 副词 | 彻底；干净地
[126] невероятный | 形容词 | 难以置信的；非常的
[127] негр | 名词 | 黑人（旧称，今多视为不敬）
[128] недолговечный | 形容词 | 不耐久的；短命的
[129] неодушевленный | 形容词 | 无生命的；非动物的（语法范畴）
[130] неотделимый | 形容词 | 不可分离的；分不开的
[131] неторопливо | 副词 | 不慌不忙地；从容地
[132] неудовольствие | 名词 | 不满；不快
[133] неустойка | 名词 | 违约金；罚金
[134] неявка | 名词 | 缺席；未到
[135] нижнийновгород | 专有名词 | 下诺夫哥罗德（俄罗斯城市）
[136] низко | 副词 | 低；低下
[137] низкорослый | 形容词 | 矮小的；身材不高的
[138] ноак | 其他 | 词形残缺，待人工核对
[139] номертелефона | 名词 | 电话号码（номер телефона）
[140] обнародованный | 形容词 | 公布的；公开的（被动形动词转形容词）
[141] обозлиться | 动词 | 发怒；恼火
[142] ого | 感叹词 | 哦（表惊讶）
[143] огорчение | 名词 | 伤心；惋惜
[144] одаренность | 名词 | 天赋；才能
[145] одряхлеть | 动词 | 衰老；衰弱
[146] одушевленный | 形容词 | 有生命的；动物性的（语法范畴）
[147] ок | 感叹词 | 哦；好（OK 音译）
[148] окруженный | 形容词 | 被包围的；环绕的（被动形动词转形容词）
[149] олух | 名词 | 傻瓜；笨蛋（口语）
[150] опальный | 形容词 | 失宠的；遭贬谪的
[151] определяться | 动词 | 确定；取决于；定位
[152] орган | 名词 | 器官；机关；机构
[153] орехи | 名词 | 坚果；核桃（复数）
[154] орфография | 名词 | 正字法；拼写
[155] осветиться | 动词 | 照亮；明亮起来；喜形于色
[156] освобожденный | 形容词 | 被释放的；腾出的（被动形动词转形容词）
[157] откровение | 名词 | 启示；坦白
[158] отмерить | 动词 | 量出；计量
[159] отплывать | 动词 | 启航；离岸
[160] отработка | 名词 | 加工；炼制；还工
[161] отрадный | 形容词 | 令人欣慰的；可喜的
[162] отрезать | 动词 | 切下；切断；打断
[163] очищающий | 形容词 | 净化的；清洁的（主动形动词转形容词）
[164] палить | 动词 | 燃烧；焚烧；射击
[165] партком | 专有名词 | 党委会（党委，партком）
[166] пекинскаяопера | 专有名词 | 京剧（пекинская опера）
[167] пельмени | 名词 | 饺子（俄式）；馄饨（复数）
[168] переместить | 动词 | 移动；转移
[169] переплетенный | 形容词 | 装订好的；交织的（被动形动词转形容词）
[170] перехватить | 动词 | 截住；抢先；拦截
[171] печенье | 名词 | 饼干；点心
[172] повернуть | 动词 | 转动；转向
[173] подвижничество | 名词 | 自我牺牲精神；忘我奉献
[174] подводить | 动词 | 引导；使失望；总结
[175] подлинник | 名词 | 原件；正本
[176] подметать | 动词 | 扫；清扫
[177] поднести | 动词 | 端上；捧献；举到
[178] подробнее | 副词 | 更详细；更详尽
[179] пожертвование | 名词 | 捐赠；捐款；捐献
[180] позже | 副词 | 更晚；稍后
[181] полуфинал | 名词 | 半决赛
[182] полушарие | 名词 | 半球；脑半球
[183] поменьше | 副词 | 少一点；小一点
[184] попозже | 副词 | 晚一点；稍迟
[185] портфель | 名词 | 公文包；皮包；投资组合
[186] посреди | 前置词 | 在…中间；在中心
[187] постановить | 动词 | 决定；颁布（决议）
[188] потерянный | 形容词 | 丢失的；迷惘的（被动形动词转形容词）
[189] потомственный | 形容词 | 世袭的；世代的
[190] правописание | 名词 | 拼写；写法
[191] праздникфонарей | 专有名词 | 灯节（праздник фонарей）
[192] практичный | 形容词 | 实用的；讲求实际的
[193] превознести | 动词 | 极力赞扬；捧上天
[194] предание | 名词 | 传说；传奇
[195] представительный | 形容词 | 有代表性的；庄严的
[196] привезти | 动词 | 运来；带来（乘载）
[197] приготовлять | 动词 | 准备；烹调；制造
[198] прижать | 动词 | 压紧；紧逼；使窘迫
[199] прилагать | 动词 | 附上；应用；运用
[200] принести | 动词 | 带来；送来；递交
[201] приниматься | 动词 | 着手；开始；被录用
[202] приобретать | 动词 | 获得；购买；养成
[203] прислушаться | 动词 | 倾听；听从
[204] причислять | 动词 | 列入；归为
[205] произношение | 名词 | 发音；读音
[206] проникнуть | 动词 | 渗入；深入；洞察
[207] прославить | 动词 | 使扬名；颂扬
[208] простуда | 名词 | 感冒；着凉
[209] простыня | 名词 | 床单；被单
[210] противно | 副词 | 令人厌恶地；反感地
[211] пунктуальный | 形容词 | 守时的；一丝不苟的
[212] пунктуация | 名词 | 标点；标点符号
[213] путаница | 名词 | 混乱；一团糟
[214] путевка | 名词 | 疗养证；旅行证；券
[215] пыльца | 名词 | 花粉
[216] пятиться | 动词 | 后退；倒退
[217] пятнадцать | 数词 | 十五
[218] развести | 动词 | 分开；离婚；培育
[219] развлечь | 动词 | 逗乐；使开心
[220] раздвижной | 形容词 | 可伸缩的；折叠的
[221] различие | 名词 | 区别；差异
[222] разлука | 名词 | 离别；分离
[223] разрешиться | 动词 | 解决；分娩；得到解决
[224] разумеется | 其他 | 当然；自然（插入语，разумеется）
[225] раскланиваться | 动词 | 鞠躬行礼；打招呼
[226] расстилаться | 动词 | 伸展；铺开；绵延
[227] растягивать | 动词 | 拉长；拖延；伸展
[228] рикошет | 名词 | 跳弹；反弹
[229] садитесь | 动词 | 请坐；坐下（命令式）
[230] самодержец | 名词 | 专制君主；沙皇
[231] самоуверенный | 形容词 | 自负的；过于自信的
[232] сахарный | 形容词 | 糖的；含糖的；甜言蜜语的
[233] свидетельство | 名词 | 证明；证书；证据
[234] священный | 形容词 | 神圣的；庄严的
[235] северянин | 名词 | 北方人；北方居民
[236] сенсорныйэкран | 名词 | 触摸屏（сенсорный экран）
[237] скончавшийся | 形容词 | 已故的；去世的（主动形动词转形容词）
[238] смести | 动词 | 扫掉；扫除；消灭
[239] согласовать | 动词 | 协商；使一致；协调
[240] согласовывать | 动词 | 协商；协调（未完成体）
[241] сожалеть | 动词 | 惋惜；遗憾；怜悯
[242] сокровенный | 形容词 | 隐秘的；内心的；珍贵的
[243] солист | 名词 | 独唱者；独奏者；主角
[244] сообщать | 动词 | 通知；报道；连接
[245] составляющая | 名词 | 组成部分；分量
[246] спокойнойночи | 其他 | 晚安（问候语 спокойной ночи）
[247] ссыльный | 名词 | 流放者（亦作形容词“流放的”）
[248] староста | 名词 | 班长；长者；村长
[249] старше | 形容词 | 年长的；较年长
[250] стереть | 动词 | 擦掉；抹去；磨损
[251] стиральнаямашина | 名词 | 洗衣机（стиральная машина）
[252] страховаякомпания | 名词 | 保险公司（страховая компания）
[253] сухо | 副词 | 干燥地；干巴巴地
[254] счастливогопути | 其他 | 一路平安（送行语 счастливого пути）
[255] такси | 名词 | 出租车；的士
[256] тащиться | 动词 | 慢吞吞走；爬（口语）；盯着看
[257] тбилиси | 专有名词 | 第比利斯（格鲁吉亚首都）
[258] тверь | 专有名词 | 特维尔（俄罗斯城市）
[259] тихийокеан | 专有名词 | 太平洋（Тихий океан）
[260] тонна | 名词 | 吨
[261] точказрения | 名词 | 观点；看法（точка зрения）
[262] тревога | 名词 | 警报；忧虑；不安
[263] тревожить | 动词 | 使不安；打扰；警报
[264] триллион | 数词 | 万亿；兆
[265] тронуть | 动词 | 触动；碰；感动
[266] убыль | 名词 | 减少；损耗
[267] уговориться | 动词 | 约好；商定
[268] ударение | 名词 | 重音；强调
[269] удержаться | 动词 | 保持住；忍住；站稳
[270] умываться | 动词 | 洗脸；盥洗
[271] упрямиться | 动词 | 固执；犟
[272] уроженец | 名词 | 出生者；原籍人
[273] успехи | 名词 | 成绩；成就；成功（复数）
[274] флешка | 名词 | U盘；闪存盘
[275] фрагментарность | 名词 | 片断性；零碎
[276] функциональный | 形容词 | 功能的；实用的
[277] хаотичный | 形容词 | 混乱的；无序的
[278] хинди | 名词 | 印地语
[279] цзинь | 专有名词 | 津/金（汉语拼音音译，具体待核）
[280] чайковский | 专有名词 | 柴可夫斯基（作曲家）
[281] четки | 名词 | 念珠；清晰（复数亦形容清晰）
[282] чили | 专有名词 | 智利（国名）
[283] шанхаец | 名词 | 上海人
[284] шведскийстол | 名词 | 自助餐（шведский стол）
[285] шеф-повар | 名词 | 主厨；厨师长
[286] щавель | 名词 | 酸模（草本植物）
[287] щетки | 名词 | 刷子（复数）
[288] эволюционировать | 动词 | 进化；演变
[289] экспортный | 形容词 | 出口的；外销的
[290] эри | 专有名词 | 伊利（湖/地名，音译 Erie）
[291] эстетический | 形容词 | 美学的；审美的
[292] южанин | 名词 | 南方人
[293] явка | 名词 | 到场；出席；接头（秘密）
[294] абитуриент | 名词 | 报考者；大学考生
[295] абонементнамесяц | 名词 | 月票（абонемент на месяц）
[296] адольф | 专有名词 | 阿道夫（男性名）
[297] ан | 其他 | 词形残缺，待人工核对
[298] арендачартера | 名词 | 包机租赁（аренда чартера）
[299] архангельск | 专有名词 | 阿尔汉格尔斯克（俄罗斯城市）
[300] багажнаябирка | 名词 | 行李牌（багажная бирка）
[301] багажнаялента | 名词 | 行李传送带（багажная лента）
[302] багажноеотделение | 名词 | 行李房；行李间（багажное отделение）
[303] банкетныйзал | 名词 | 宴会厅（банкетный зал）
[304] беспроводнойинтернет | 名词 | 无线上网（беспроводной интернет）
[305] билетвзоопарк | 名词 | 动物园门票（билет в зоопарк）
[306] билетвпарк | 名词 | 公园门票（билет в парк）
[307] билетвтеатр | 名词 | 剧院门票（билет в театр）
[308] билетдлявзрослых | 名词 | 成人票（билет для взрослых）
[309] билетдлядетей | 名词 | 儿童票（билет для детей）
[310] билетназавтра | 名词 | 明日票（билет на завтра）
[311] билетнасегодня | 名词 | 今日票（билет на сегодня）
[312] билетсрук | 名词 | 黄牛票；转让票（билет с рук）
[313] большойвыбор | 名词 | 丰富选择；大选择（большой выбор）
[314] братьотпуск | 动词 | 休假；请假（брать отпуск）
[315] будтобы | 连词 | 仿佛；好像（будто бы）
[316] бурильнаятруба | 名词 | 钻管；钻杆（бурильная труба）
[317] буроваяустановка | 名词 | 钻机；钻井设备（буровая установка）
[318] буровойпол | 名词 | 钻台（буровой пол）
[319] быстрыйдоступ | 名词 | 快速访问（быстрый доступ）
[320] всети | 副词 | 在线；在网上（в сети）
[321] всутки | 其他 | 每昼夜（в сутки）
[322] вчастности | 副词 | 特别是；尤其是（в частности）
[323] валютныеоперации | 名词 | 外汇业务（валютные операции）
[324] валютныйконтроль | 名词 | 外汇管制（валютный контроль）
[325] весбрутто | 名词 | 毛重（вес брутто）
[326] веснетто | 名词 | 净重（вес нетто）
[327] вестисебя | 动词 | 表现；举止（вести себя）
[328] взятьбагажпоошибке | 动词 | 误拿行李（взять багаж по ошибке）
[329] взятьтакси | 动词 | 打车；叫出租车（взять такси）
[330] видсотрудничества | 名词 | 合作形式（вид сотрудничества）
[331] визитнаякарточка | 名词 | 名片（визитная карточка）
[332] вложенныйфайл | 名词 | 附件；嵌入文件（вложенный файл）
[333] вовсякомслучае | 其他 | 无论如何（во всяком случае）
[334] впередрышку | 其他 | 词形残缺，待人工核对
[335] всегохорошего | 其他 | 祝一切顺利（告别语 всего хорошего）
[336] вспомниться | 动词 | 想起；浮现
[337] встроеннаяпамять | 名词 | 内置内存（встроенная память）
[338] входнойбилет | 名词 | 入场券（входной билет）
[339] въезднаявиза | 名词 | 入境签证（въездная виза）
[340] выгрузкабагажа | 名词 | 行李卸货（выгрузка багажа）
[341] выезднаявиза | 名词 | 出境签证（выездная виза）
[342] выпечь | 动词 | 烤制；烘
[343] выпечься | 动词 | 烤好；烘熟
[344] выпускаемаяпродукция | 名词 | 产品；产出（выпускаемая продукция）
[345] выразиться | 动词 | 表达；表现是
[346] высокийуровень | 名词 | 高水平（высокий уровень）
[347] высшееобразование | 名词 | 高等教育（высшее образование）
[348] высшийсвет | 名词 | 上流社会（высший свет）
[349] выходнойдень | 名词 | 休息日；假日（выходной день）
[350] гарантийныйсрок | 名词 | 保修期（гарантийный срок）
[351] генеральныйдиректор | 名词 | 总经理；总裁（генеральный директор）
[352] гидро | 其他 | 水；水力（构词成分，如 гидро…）
[353] глянуть | 动词 | 看一眼；瞥（口语）
[354] годовойоборот | 名词 | 年营业额（годовой оборот）
[355] горящаяпутевка | 名词 | 热销旅游券；限时优惠票（горящая путевка）
[356] госдума | 专有名词 | 国家杜马（俄罗斯议会下院）
[357] готоваяпродукция | 名词 | 成品（готовая продукция）
[358] графикотпусков | 名词 | 休假表（график отпусков）
[359] громче | 副词 | 更大声；较响
[360] гуанчжоуец | 名词 | 广州人（гуанчжоуец）
[361] далянец | 名词 | 大连人
[362] датаотплытия | 名词 | 启航日期（дата отплытия）
[363] датапроведения | 名词 | 举行日期（дата проведения）
[364] датарождения | 名词 | 出生日期（дата рождения）
[365] датьбанкет | 动词 | 设宴；办宴会（дать банкет）
[366] дворецгугун | 专有名词 | 故宫；紫禁城（дворец Гугун）
[367] двухместныйномер | 名词 | 双人间（двухместный номер）
[368] декретныйотпуск | 名词 | 产假（декретный отпуск）
[369] делатьксерокопию | 动词 | 复印（делать ксерокопию）
[370] деловойвизит | 名词 | 商务访问（деловой визит）
[371] денежныесредства | 名词 | 资金；款项（денежные средства）
[372] дневнойбилет | 名词 | 日票（дневной билет）
[373] довстречи | 其他 | 再见；回头见（до встречи）
[374] дообеда | 副词 | 午前；饭前（до обеда）
[375] досвидания | 其他 | 再见（до свидания）
[376] добропожаловать | 其他 | 欢迎（добро пожаловать）
[377] договорнаяцена | 名词 | 议价；协定价格（договорная цена）
[378] доесть | 动词 | 吃完；吃光
[379] дополнительнаяуслуга | 名词 | 附加服务（дополнительная услуга）
[380] дочерняяфирма | 名词 | 子公司（дочерняя фирма）
[381] другдруга | 代词 | 彼此；互相（друг друга）
[382] ежегодныйотпуск | 名词 | 年假（ежегодный отпуск）
[383] задо | 其他 | 词形残缺，待人工核对
[384] забратьчемодан | 动词 | 取行李箱（забрать чемодан）
[385] завестипочту | 动词 | 开邮箱；注册邮箱（завести почту）
[386] загрузитьбесплатно | 动词 | 免费下载（загрузить бесплатно）
[387] заказатьбилет | 动词 | 订票（заказать билет）
[388] заказатьтакси | 动词 | 叫出租车（заказать такси）
[389] заместительдиректора | 名词 | 副董事；副经理（заместитель директора）
[390] замолкнуть | 动词 | 沉默；不再出声
[391] занятьвремя | 动词 | 占用时间（занять время）
[392] заранеезаказать | 动词 | 提前预订（заранее заказать）
[393] засидеться | 动词 | 坐得过久；滞留
[394] захлопнуть | 动词 | 砰地关上；猛关
[395] захотеться | 动词 | 想要；忽然想
[396] заявлениеобуходе | 名词 | 辞职信（заявление об уходе）
[397] зонавыдачибагажа | 名词 | 行李领取区（зона выдачи багажа）
[398] игратьвигры | 动词 | 玩游戏（играть в игры）
[399] изобразиться | 动词 | 显现；描绘出
[400] иллюзион | 名词 | 电影院（旧称）；幻术
[401] иностраннаявалюта | 名词 | 外币；外汇（иностранная валюта）
[402] иностранныйучащийся | 名词 | 外国留学生（иностранный учащийся）
[403] искривлениескважины | 名词 | 井斜；井眼弯曲（искривление скважины）
[404] исследоваться | 动词 | 被研究；受考察
[405] исходныеданные | 名词 | 原始数据（исходные данные）
[406] ксожалению | 其他 | 遗憾的是（к сожалению）
[407] какбудто | 连词 | 好像；仿佛（как будто）
[408] кактаки | 其他 | 词形残缺，待人工核对
[409] календарныйдень | 名词 | 日历日（календарный день）
[410] календарныйплан | 名词 | 日程计划（календарный план）
[411] картоннаякоробка | 名词 | 纸箱（картонная коробка）
[412] картофельноепюре | 名词 | 土豆泥（картофельное пюре）
[413] карьерныйрост | 名词 | 职业发展（карьерный рост）
[414] квадратныйметр | 名词 | 平方米（квадратный метр）
[415] киносеанс | 名词 | 电影场次（киносеанс）
[416] классно | 副词 | 棒；好极了（口语）
[417] кластьтрубку | 动词 | 挂电话（класть трубку）
[418] клейкаялента | 名词 | 胶带（клейкая лента）
[419] коммерческийконтракт | 名词 | 商业合同（коммерческий контракт）
[420] комфортнаяатмосфера | 名词 | 舒适氛围（комфортная атмосфера）
[421] контрольбезопасности | 名词 | 安检（контроль безопасности）
[422] концертныйзал | 名词 | 音乐厅（концертный зал）
[423] копировальныйаппарат | 名词 | 复印机（копировальный аппарат）
[424] корпоративныйбанкет | 名词 | 公司宴会（корпоративный банкет）
[425] крепкоездоровье | 名词 | 健壮身体；硬朗（крепкое здоровье）
[426] крометого | 连词 | 此外；而且（кроме того）
[427] купитьбилет | 动词 | 买票（купить билет）
[428] курспокупки | 名词 | 买入汇率（курс покупки）
[429] курспродажи | 名词 | 卖出汇率（курс продажи）
[430] кучадел | 名词 | 一堆事；很多事（куча дел）
[431] келын | 其他 | 词形残缺，待人工核对
[432] линейныеперевозки | 名词 | 班轮运输；干线运输（линейные перевозки）
[433] линейныйтур | 名词 | 固定线路游（линейный тур）
[434] лихтерныйсбор | 名词 | 驳船费（лихтерный сбор）
[435] лишнийбилет | 名词 | 多余票；退票（лишний билет）
[436] лоцманскийсбор | 名词 | 引航费（лоцманский сбор）
[437] мавзолейленина | 专有名词 | 列宁墓（мавзолей Ленина）
[438] магистратура | 名词 | 硕士研究生院；硕士阶段
[439] маршрутвыходногодня | 名词 | 周末路线（маршрут выходного дня）
[440] мвт | 其他 | 词形残缺，待人工核对
[441] мгту | 专有名词 | 莫斯科国立技术大学（缩写 МГТУ）
[442] мединститут | 名词 | 医学院（мединститут）
[443] медныйвсадник | 专有名词 | 青铜骑士（彼得大帝纪念碑）
[444] менеджерресторана | 名词 | 餐厅经理（менеджер ресторана）
[445] местопроведения | 名词 | 举行地点（место проведения）
[446] методика | 名词 | 方法；教学法
[447] миллиард | 数词 | 十亿
[448] минуточку | 其他 | 等一下；稍等（минуточку，表请求）
[449] мировойрынок | 名词 | 世界市场（мировой рынок）
[450] многодневныйтур | 名词 | 多日游（многодневный тур）
[451] монтажоборудования | 名词 | 设备安装（монтаж оборудования）
[452] морскаяперевозка | 名词 | 海运（морская перевозка）
[453] мпа | 数词 | 兆帕（压强单位缩写，МПа）
[454] музейгугун | 专有名词 | 故宫博物院（музей Гугун）
[455] мяснойрулет | 名词 | 肉卷（мясной рулет）
[456] набортусамолета | 副词 | 在飞机上（на борту самолёта）
[457] надругойдень | 副词 | 次日；第二天（на другой день）
[458] наносу | 副词 | 临近；迫在眉睫（на носу）
[459] наоснове | 前置词 | 基于；根据（на основе）
[460] напамять | 副词 | 留作纪念；凭记忆（на память）
[461] наследующейнеделе | 副词 | 下周（на следующей неделе）
[462] насовесть | 副词 | 凭良心；好好地（на совесть）
[463] натакси | 副词 | 乘出租车（на такси）
[464] начейвзгляд | 其他 | 依谁之见（на чей взгляд，合并词，待核）
[465] начьеимя | 其他 | 以…名义（на чьё имя，合并词，待核）
[466] набратьномер | 动词 | 拨号（набрать номер）
[467] назначитьвстречу | 动词 | 约见；定约会（назначить встречу）
[468] наладочныеработы | 名词 | 调试工作（наладочные работы）
[469] направляющаясторона | 名词 | 引导方；主导方（направляющая сторона）
[470] населить | 动词 | 使居住；移民
[471] национальныйпраздник | 名词 | 国庆；民族节日（национальный праздник）
[472] нащупать | 动词 | 摸到；试探出
[473] неотправлен | 形容词 | 未发出的；未寄出的（短尾被动形动词转形容词）
[474] нетольконои | 连词 | 不仅…而且（не только..., но и）
[475] нейлоноваялента | 名词 | 尼龙带（нейлоновая лента）
[476] неполадка | 名词 | 故障；小毛病
[477] несмотряна | 前置词 | 尽管；不顾（несмотря на）
[478] несмываемаякраска | 名词 | 不褪色颜料；耐洗涂料（несмываемая краска）
[479] нефтянойпласт | 名词 | 油层（нефтяной пласт）
[480] низкаязарплата | 名词 | 低工资（низкая зарплата）
[481] никакне | 副词 | 怎么也不；绝不（никак не）
[482] ники | 其他 | 词形残缺，待人工核对
[483] нителлектуальный | 形容词 | 智力的；理智的（интеллектуальный 的拼写变体）
[484] нои | 其他 | 词形残缺，待人工核对
[485] новыйгод | 专有名词 | 新年（Новый год）
[486] номерлюкс | 名词 | 豪华客房；套房（номер люкс）
[487] номернадвоих | 名词 | 双人房（номер на двоих）
[488] номернаодного | 名词 | 单人房（номер на одного）
[489] номернатроих | 名词 | 三人房（номер на троих）
[490] номинация | 名词 | 提名；奖项类别
[491] обеденныйперерыв | 名词 | 午休（обеденный перерыв）
[492] облагатьсяпошлиной | 动词 | 征税；课税（облагаться пошлиной）
[493] обменнаякасса | 名词 | 兑换处（обменная касса）
[494] обменныйкурс | 名词 | 兑换率（обменный курс）
[495] обменныйпункт | 名词 | 兑换点（обменный пункт）
[496] обозлить | 动词 | 激怒；使生气
[497] обозначиться | 动词 | 显露；显现；表明
[498] обрывсвязи | 名词 | 断线；通讯中断（обрыв связи）
[499] обуть | 动词 | 给…穿鞋；穿鞋
[500] обучениеперсонала | 名词 | 员工培训（обучение персонала）
[501] объемпродаж | 名词 | 销售量（объём продаж）
[502] объемработы | 名词 | 工作量（объём работы）
[503] овеять | 动词 | 吹拂；笼罩（荣誉等）
[504] одноместныйномер | 名词 | 单人房（одноместный номер）
[505] окончательнаяцена | 名词 | 最终价格（окончательная цена）
[506] олицетворить | 动词 | 体现；使人格化
[507] оперативнаяпамять | 名词 | 内存；运存（оперативная память）
[508] оплачиваемыйотпуск | 名词 | 带薪休假（оплачиваемый отпуск）
[509] основнаяось | 名词 | 主轴；基线（основная ось）
[510] оставитьсообщение | 动词 | 留言（оставить сообщение）
[511] осторожнонекантовать | 其他 | 小心轻放；勿倾倒（осторожно, не кантовать）
[512] осуществитьзаказ | 动词 | 执行订单（осуществить заказ）
