[1] продлитьпребывание | 动词 | 延长停留（продлить пребывание）
[41] сдатьключ | 动词 | 交还钥匙（сдать ключ）
[42] сдачавэксплуатацию | 名词 | 投入使用；交付使用（сдача в эксплуатацию）
[43] семейноеположение | 名词 | 婚姻状况（семейное положение）
[44] семейноесчастье | 名词 | 家庭幸福（семейное счастье）
[45] скачиваниефайлов | 名词 | 文件下载（скачивание файлов）
[46] служебныйпаспорт | 名词 | 公务护照（служебный паспорт）
[47] сниженнаяцена | 名词 | 降价；优惠价（сниженная цена）
[48] собственноежелание | 名词 | 自愿；本意（собственное желание）
[49] советдиректоров | 名词 | 董事会（совет директоров）
[50] советправления | 名词 | 理事会（совет правления）
[51] создаться | 动词 | 形成；产生
[52] сократитьсрок | 动词 | 缩短期限（сократить срок）
[53] солнечно | 副词 | 晴朗；阳光明媚
[54] составитьплан | 动词 | 拟订计划（составить план）
[55] состоятьиз | 动词 | 由…组成（состоять из）
[56] сотовыйтелефон | 名词 | 手机（сотовый телефон）
[57] сохранятьотвлаги | 动词 | 防潮（сохранять от влаги）
[58] средняястоимость | 名词 | 平均成本（средняя стоимость）
[59] срокгарантии | 名词 | 保修期（срок гарантии）
[60] срокдействия | 名词 | 有效期（срок действия）
[61] срокпоставки | 名词 | 交货期（срок поставки）
[62] срокэксплуатации | 名词 | 使用寿命（срок эксплуатации）
[63] стационарныйтелефон | 名词 | 座机（стационарный телефон）
[64] стенкаскважины | 名词 | 井壁（стенка скважины）
[65] стоимостьбилета | 名词 | 票价（стоимость билета）
[66] стоимостьпроезда | 名词 | 车费（стоимость проезда）
[67] стойкарегистрации | 名词 | 值机柜台（стойка регистрации）
[68] строительнаяплощадка | 名词 | 建筑工地（строительная площадка）
[69] таможеннаяпошлина | 名词 | 关税（таможенная пошлина）
[70] таможенноеобложение | 名词 | 课税；征税（таможенное обложение）
[71] таможенныйдосмотр | 名词 | 海关查验（таможенный досмотр）
[72] таможенныйсбор | 名词 | 海关规费（таможенный сбор）
[73] тараканы | 名词 | 蟑螂（复数）
[74] твердоепредложение | 名词 | 实盘（твёрдое предложение）
[75] текущиецены | 名词 | 现行价格（текущие цены）
[76] телеграфныйперевод | 名词 | 电汇（телеграфный перевод）
[77] телефоннаякнига | 名词 | 电话簿（телефонная книга）
[78] тематическийтур | 名词 | 主题游（тематический тур）
[79] техническийконтракт | 名词 | 技术合同（технический контракт）
[80] толедо | 专有名词 | 托莱多（西班牙城市）
[81] точнее | 副词 | 更准确；更精确
[82] тряхнуть | 动词 | 抖；摇晃
[83] тряхнуться | 动词 | 颠一下；晃一下
[84] тургруппа | 名词 | 旅游团（тургруппа）
[85] туристическаяпутевка | 名词 | 旅游证；旅游券（туристическая путевка）
[86] туристическиймаршрут | 名词 | 旅游路线（туристический маршрут）
[87] туристскиймаркетинг | 名词 | 旅游营销（туристский маркетинг）
[88] тяжелаяноша | 名词 | 重担（тяжёлая ноша）
[89] уверить | 动词 | 使相信；说服
[90] уволитьсясработы | 动词 | 辞职（уволиться с работы）
[91] уделиться | 动词 | 分给；留出（用于）
[92] удосужиться | 动词 | 抽出空；得暇
[93] улицаарбат | 专有名词 | 阿尔巴特街（улица Арбат）
[94] универсам | 名词 | 超市；自选商店
[95] упакованныйчемодан | 名词 | 打包好的箱子（упакованный чемодан）
[96] управленческаяработа | 名词 | 管理工作（управленческая работа）
[97] урожденная | 形容词 | 娘家姓…的（урождённая）
[98] ускоритьпоставку | 动词 | 加快交货（ускорить поставку）
[99] условияплатежа | 名词 | 付款条件（условия платежа）
[100] условияпоставки | 名词 | 交货条件（условия поставки）
[101] уставныйфонд | 名词 | 法定基金（уставный фонд）
[102] установитьсвязи | 动词 | 建立联系（установить связи）
[103] устроитьбанкет | 动词 | 举办宴会（устроить банкет）
[104] утерябагажа | 名词 | 行李遗失（утеря багажа）
[105] уцененныйтовар | 名词 | 降价商品（уцененный товар）
[106] фирменноеблюдо | 名词 | 招牌菜（фирменное блюдо）
[107] флеш-картапамяти | 名词 | 闪存卡（флеш-карта памяти）
[108] фоб | 其他 | 词形残缺，待人工核对
[109] фотожурналистика | 名词 | 摄影新闻；新闻摄影（фотожурналистика）
[110] храмнеба | 专有名词 | 天坛（храм Неба）
[111] хрупкоесодержание | 名词 | 易碎品（хрупкое содержание）
[112] цветнаяксерокопия | 名词 | 彩色复印（цветная ксерокопия）
[113] центральноеотопление | 名词 | 集中供暖（центральное отопление）
[114] цум | 专有名词 | 中央百货商场（ЦУМ，缩写）
[115] чащевсего | 副词 | 通常；最经常（чаще всего）
[116] чемтем | 连词 | 越…越（чем..., тем...）
[117] шипеть | 动词 | 发出嘶嘶声；咝咝地说
[118] широкийассортимент | 名词 | 品种齐全；丰富的花色（широкий ассортимент）
[119] электроннаяпочта | 名词 | 电子邮件（электронная почта）
[120] агротуризм | 名词 | 农业旅游（агротуризм）
[121] адаптационный | 形容词 | 适应的；调适的
[122] ампутировать | 动词 | 截肢
[123] ассоциативный | 形容词 | 联想的；关联的
[124] бколо | 其他 | 词形残缺（疑为 около“大约/附近”的错拼），待人工核对
[125] ввц | 专有名词 | 全俄展览中心（ВВЦ，缩写）
[126] влюбчивая | 形容词 | 多情的；易坠入爱河的（влюбчивая）
[127] внесите | 动词 | 请放入；缴纳（命令式）
[128] воспроизведите | 动词 | 请播放；复现（命令式）
[129] выскажите | 动词 | 请说出；发表（命令式）
[130] гарантироваться | 动词 | 保证；有保障
[131] депопуляция | 名词 | 人口减少；负增长
[132] долгожительство | 名词 | 长寿现象
[133] егэ | 专有名词 | 统一国家考试（俄罗斯高考，ЕГЭ）
[134] калатозов | 专有名词 | 卡拉托佐夫（姓氏，如导演 М. Калатозов）
[135] камнерез | 名词 | 石刻匠；玉雕师
[136] маячить | 动词 | 隐约出现；笼罩
[137] медкомиссия | 名词 | 医疗委员会；体检（медкомиссия）
[138] метафоричный | 形容词 | 隐喻的；比喻性的
[139] мок | 专有名词 | 国际奥委会（МОК，缩写）
[140] музыкант-альтист | 名词 | 中提琴手（музыкант-альтист）
[141] новомодный | 形容词 | 时髦的；新潮的
[142] номинант | 名词 | 提名者；候选人
[143] обветренный | 形容词 | 被风吹干的；粗糙的（被动形动词转形容词）
[144] объятье | 名词 | 拥抱；怀抱
[145] обязываться | 动词 | 承诺；承担责任
[146] огорчена | 形容词 | 伤心的；懊恼的（短尾被动形动词转形容词）
[147] омнибус | 名词 | 公共汽车（旧称）；选集
[148] онлайн-трансляция | 名词 | 在线直播（онлайн-трансляция）
[149] отметьте | 动词 | 请注明；标记（命令式）
[150] пбсле | 其他 | 词形残缺（疑为 после“在…之后”的错拼），待人工核对
[151] поблагодарите | 动词 | 请感谢（命令式）
[152] подвижнический | 形容词 | 忘我的；自我牺牲的
[153] поедем | 动词 | 我们走吧；去（поедем）
[154] пожалуйтесь | 动词 | 请投诉；抱怨（命令式）
[155] попросите | 动词 | 请请求；请要（命令式）
[156] поступающий | 形容词 | 入学的；报考的（主动形动词转形容词）
[157] похудение | 名词 | 减肥；变瘦
[158] превращенный | 形容词 | 被改变的；化为…的（被动形动词转形容词）
[159] пригласите | 动词 | 请邀请（命令式）
[160] приглашенный | 名词 | 受邀者；客人（被动形动词转名词）
[161] прилагаться | 动词 | 附上；附带
[162] принесенный | 形容词 | 带来的；送来的（被动形动词转形容词）
[163] проводимого | 形容词 | 正在进行的（被动形动词转形容词）
[164] прочитанный | 形容词 | 读过的；已读的（被动形动词转形容词）
[165] растениевод | 名词 | 作物栽培者；农艺师
[166] ромм | 其他 | 词形残缺，待人工核对
[167] саморегулирующийся | 形容词 | 自调节的；自动调节的
[168] семимиллиардный | 形容词 | 七十亿的（семимиллиардный）
[169] сероглазый | 形容词 | 灰眼睛的
[170] сомневаетесь | 动词 | 您怀疑；犹豫（сомневаетесь）
[171] становиться-стать | 动词 | 成为；变成（становиться / стать）
[172] стрессоустойчивый | 形容词 | 抗压力的；心理承受力强的
[173] субтест | 名词 | 分测验；子测试（субтест）
[174] тамошний | 形容词 | 那里的；当地的
[175] тестирующий | 形容词 | 测试的；考核的（主动形动词转形容词）
[176] транссиб | 专有名词 | 西伯利亚大铁路（Транссиб）
[177] употребленный | 形容词 | 用过的；使用的（被动形动词转形容词）
[178] фильм-размышление | 名词 | 思考型电影（фильм-размышление）
[179] франт | 名词 | 花花公子；讲究穿戴的人
[180] хвалите | 动词 | 请夸奖（命令式）
[181] яранга | 名词 | 雅兰加（楚科奇/爱斯基摩人帐篷）
[182] вотличиеот | 前置词 | 与…不同（в отличие от）
[183] выправытыправа | 其他 | 词形残缺（疑为“вы правы / ты права”合并），待人工核对
[184] допустимчто | 连词 | 假设；假定（допустим, что）
[185] другимисловамитоесть | 连词 | 换言之，即（другими словами, то есть）
[186] еслибытоябы | 连词 | 如果…我就（если бы..., то я бы）
[187] еслиянеошибаюсь | 其他 | 如果我没弄错（если я не ошибаюсь）
[188] именнотак | 其他 | 正是如此（именно так）
[189] какпо-русскибудет | 其他 | 俄语怎么说（как по-русски будет）
[190] личноясчитаю | 其他 | 我个人认为（лично я считаю）
[191] мнекажетсячто | 其他 | 我觉得（мне кажется, что）
[192] намойвзгляд | 其他 | 依我看（на мой взгляд）
[193] наверноеможетбыть | 其他 | 大概，也许（наверное, может быть）
[194] наоборотнапротив | 其他 | 相反，反倒（наоборот, напротив）
[195] неисключеночто | 其他 | 不排除…（не исключено, что）
[196] обавариантахорошино | 其他 | 词形残缺（疑为“оба варианта хороши, но…”合并），待人工核对
[197] полностьюсогласен | 其他 | 完全同意（полностью согласен）
[198] предположимчто | 连词 | 假设；我们假定（предположим, что）
[199] смоейточкизрения | 其他 | 依我之见（с моей точки зрения）
[200] скореевсего | 其他 | 大概；多半（скорее всего）
[201] хмдайтеподумать | 其他 | 嗯，让我想想（хм, дайте подумать）
[202] этоспорныйвопрос | 其他 | 这是个有争议的问题（это спорный вопрос）
[203] ядымаюполагаючто | 其他 | 我想，我认为（я думаю, полагаю, что）
[204] янесовсемсогласен | 其他 | 我不太赞同（я не совсем согласен）
[205] ясчитаючто | 其他 | 我认为（я считаю, что）
[206] далеезатемпослеэтого | 其他 | 接着，然后，此后（далее, затем, после этого）
[207] дляэтогояпланирую | 其他 | 为此我计划（для этого я планирую）
[208] сначалапотоминаконец | 其他 | 先，然后，最后（сначала, потом, наконец）
[209] унихестьобщееоба | 其他 | 他们有共同点，两者都（у них есть общее, оба）
[210] этобыловтовремяя | 其他 | 这很及时（этобылововремяя，合并碎片，待核）
[211] этосвазаностемчто | 其他 | 这与…有关（это связано с тем, что）
[212] ясчитаючтопо-моему | 其他 | 我认为，依我看（я считаю, что по-моему）
[213] яхотелабырассказатьо | 其他 | 我想讲讲（я хотела бы рассказать о）
[214] яхотелабысравнитьи | 其他 | 我想比较…和（я хотела бы сравнить и）
[215] договоро | 其他 | 词形残缺（疑为 договор о“关于…的合同”），待人工核对
[216] занялзаняла | 动词 | 占用；借（занял/заняла，阳/阴过去时）
[217] окноокна | 名词 | 窗；窗户（окно/окна，单/复）
[218] опортность | 其他 | 词形残缺，待人工核对
[219] подрыга | 其他 | 词形残缺，待人工核对
[220] шауфер | 其他 | 词形残缺（疑为 шофёр“司机”的错拼），待人工核对
[221] асколькодней | 其他 | 那多少天（а сколько дней）
[222] ачтоделали | 其他 | 那你们做了什么（а что делали）
[223] вутраувхода | 其他 | 在早晨入口处（в утра у входа，合并碎片，待核）
[224] вокзалаэропорт | 其他 | 火车站/机场（вокзал/аэропорт，合并碎片，待核）
[225] гостиницахостел | 其他 | 旅馆/青旅（гостиница/хостел，合并碎片，待核）
[226] завидыюятожехочу | 其他 | 我也想要（завидую, я тоже хочу，合并碎片，待核）
[227] здесьестьи-и | 其他 | 这里有…和…（здесь есть и..., 合并碎片，待核）
[228] икактам | 其他 | 那那边怎么样（и как там，合并碎片，待核）
[229] какпройтикплатформе | 其他 | 怎么去站台（как пройти к платформе，合并碎片，待核）
[230] кудаездилвотпуск | 其他 | 休假去了哪里（куда ездил в отпуск，合并碎片，待核）
[231] местокудаяпереезжаю | 其他 | 我搬去的地方（место, куда я переезжаю，合并碎片，待核）
[232] музейсоборпарк | 其他 | 博物馆/教堂/公园（музей/собор/парк，合并碎片，待核）
[233] насапсанеоколочасов | 其他 | 在动车上约一小时（на Сапсане около часов，合并碎片，待核）
[234] номерреспшен | 其他 | 预订号（номер reservation，合并碎片，待核）
[235] опоздатьнароезд | 动词 | 误了火车（опоздать на поезд，合并短语）
[236] потератьпаспорт | 动词 | 丢了护照（потерять паспорт，合并短语）
[237] русскогоязыкаучитель | 名词 | 俄语老师（русского языка учитель，合并短语）
[238] сейчасяждуавтобус | 其他 | 我现在等公交（сейчас я жду автобус，合并碎片，待核）
[239] тамдалеко | 其他 | 那里很远（там далеко，合并短语）
[240] тыумеешьводитьмашину | 其他 | 你会开车吗（ты умеешь водить машину，合并碎片，待核）
[241] экономбизнес | 名词 | 经济舱/商务舱（эконом/бизнес，合并碎片，待核）
[242] яидунаавтобус | 其他 | 我去坐公交（я иду на автобус，合并碎片，待核）
[243] ясновакупилпауэрбанк | 其他 | 我买了个充电宝（я снова купил пауэрбанк，合并碎片，待核）
[244] аеслитовуниверситет | 其他 | 那如果你去大学（а если ты в университет，合并碎片，待核）
[245] акаконапоедетвроссию | 其他 | 那卡佳去俄罗斯吗（а Катя поедет в Россию，合并碎片，待核）
[246] вауклассно | 其他 | 哇，太棒了（вау, классно，合并碎片，待核）
[247] кактвоиуспехивучебе | 其他 | 你学业怎么样（как твои успехи в учёбе，合并碎片，待核）
[248] мойкласс | 名词 | 我的班级（мой класс）
[249] мыначинаемурок | 其他 | 我们开始上课（мы начинаем урок，合并碎片，待核）
[250] нетвшколееще | 其他 | 还没上学（нет, в школе ещё，合并碎片，待核）
[251] онаизучаетрусский | 其他 | 她学俄语（она изучает русский，合并碎片，待核）
[252] увасразавденьзанятия | 其他 | 你们一天一节（课）（у вас раз в день занятия，合并碎片，待核）
[253] университетгода | 名词 | 大学几年（университет, года，合并碎片，待核）
[254] хорошоэтоклассно | 其他 | 好，这很棒（хорошо, это классно，合并碎片，待核）
[255] экзаменнауровень | 名词 | 水平考试（экзамен на уровень，合并短语）
[256] этокитайскийэкзамен | 其他 | 这是汉语考试（это китайский экзамен，合并碎片，待核）
[257] япоедукдевушке | 其他 | 我去找女朋友（я поеду к девушке，合并碎片，待核）
[258] ясновакупилтакойже | 其他 | 我又买了同样的（я снова купил такой же，合并碎片，待核）
[259] аконкретно | 其他 | 那具体呢（а конкретно，合并短语）
[260] тыпообедал | 其他 | 你吃午饭了吗（ты пообедал，合并短语）
[261] выты | 代词 | 您/你（вы/ты，合并碎片，待核）
[262] абютжет | 名词 | 预算（бюджет，合并碎片，待核）
[263] ввконференц-зале | 副词 | 在会议室（в конференц-зале，合并短语）
[264] графикработы | 名词 | 工作日程（график работы）
[265] должностьопытработы | 名词 | 职位/工作经验（должность/опыт работы，合并碎片，待核）
[266] какиесильныесторони | 其他 | 哪些优势（какие сильные стороны，合并短语）
[267] менеджерпрограммист | 名词 | 经理/程序员（менеджер/программист，合并碎片，待核）
[268] насобеседованиечего | 其他 | 面试什么（на собеседовании чего，合并碎片，待核）
[269] неособономогу | 其他 | 我不太能（не особо могу，合并碎片，待核）
[270] нетещеучусьвколледже | 其他 | 不，我还在学院读书（нет, ещё учусь в колледже，合并碎片，待核）
[271] нетяещевшколе | 其他 | 不，我还在上小学（нет, я ещё в школе，合并碎片，待核）
[272] переводчикрепетитор | 名词 | 翻译/家教（переводчик/репетитор，合并碎片，待核）
[273] расскажитеосебе | 其他 | 请介绍一下自己（расскажите о себе，合并短语）
[274] сегодняянеработаю | 其他 | 今天我不上班（сегодня я не работаю，合并碎片，待核）
[275] сейчасянаработе | 其他 | 现在我在上班（сейчас я на работе，合并碎片，待核）
[276] спасибозавозможность | 其他 | 谢谢有机会（спасибо за возможность，合并短语）
[277] тынаработуходишь | 其他 | 你上班去吗（ты на работу ходишь，合并碎片，待核）
[278] тысегодняработаешь | 其他 | 你今天工作吗（ты сегодня работаешь，合并碎片，待核）
[279] тыумеешьготовить | 其他 | 你会做饭吗（ты умеешь готовить，合并碎片，待核）
[280] увольнениеповышение | 名词 | 辞职/升职（увольнение/повышение，合并碎片，待核）
[281] удаленнаяработа | 名词 | 远程工作（удалённая работа）
[282] яидунаработу | 其他 | 我去上班（я иду на работу，合并碎片，待核）
[283] япростомылапосуду | 其他 | 我只是在洗碗（я просто мыла посуду，合并碎片，待核）
[284] яработаючастно | 其他 | 我做私活（я работаю частно，合并碎片，待核）
[285] ячастныйрепетитор | 其他 | 我是私人家教（я частный репетитор，合并碎片，待核）
[286] атвоемудругу | 其他 | 那你朋友（а твоему другу，合并碎片，待核）
[287] близкийродной | 形容词 | 亲近的；亲人（близкий/родной，合并碎片，待核）
[288] братсестра | 名词 | 兄/弟/姐/妹（брат/сестра，合并碎片，待核）
[289] гдетыживешьвроссии | 其他 | 你在俄罗斯哪里住（где ты живёшь в России，合并碎片，待核）
[290] гдеэто | 其他 | 这是哪里（где это，合并短语）
[291] дамоясестракондитер | 其他 | 我姐姐是糕点师（да, моя сестра кондитер，合并碎片，待核）
[292] дадятетя | 名词 | 舅舅/阿姨（дядя/тётя，合并碎片，待核）
[293] двоюродныйбрат | 名词 | 堂/表兄弟（двоюродный брат）
[294] дедушкабабушка | 名词 | 爷爷/奶奶（дедушка/бабушка，合并碎片，待核）
[295] затонесучноинтересно | 其他 | 否则无聊但有趣（зато не скучно, интересно，合并碎片，待核）
[296] иплюся | 其他 | 还有我（и плюс я，合并碎片，待核）
[297] иливыодинаково | 其他 | 或者你们一样（или вы одинаково，合并碎片，待核）
[298] ихдвоеоднойдругой | 其他 | 他们两个，一个…另一个（их двое, одной... другой，合并碎片，待核）
[299] кемработаеттвоямама | 其他 | 你妈妈做什么工作（кем работает твоя мама，合并碎片，待核）
[300] лучшийдруг | 名词 | 最好的朋友（лучший друг）
[301] майкоп | 专有名词 | 迈科普（俄罗斯城市）
[302] мненужнотудапоехать | 其他 | 我得去那里（мне нужно туда поехать，合并碎片，待核）
[303] многопочтивсе | 其他 | 很多，几乎所有（много, почти все，合并碎片，待核）
[304] многоиплюся | 其他 | 很多，还有我（много, и плюс я，合并碎片，待核）
[305] мыодинаково | 其他 | 我们一样（мы одинаково，合并短语）
[306] неедругой | 其他 | 不，另一个（не, другой，合并碎片，待核）
[307] неттолькояимама | 其他 | 不，只有我和妈妈（нет, только я и мама，合并碎片，待核）
[308] отецмать | 名词 | 父亲/母亲（отец/мать，合并碎片，待核）
[309] папамама | 名词 | 爸爸/妈妈（папа/мама，合并碎片，待核）
[310] поздравля | 动词 | 祝贺（поздравля，命令式/未完成）
[311] республикаадыгея | 专有名词 | 阿迪格共和国
[312] республикаалтай | 专有名词 | 阿尔泰共和国
[313] семейныетрадиции | 名词 | 家庭传统（семейные традиции）
[314] сколькоутебясестер | 其他 | 你有几个姐妹（сколько у тебя сестёр，合并碎片，待核）
[315] ссорапомирение | 名词 | 争吵/和好（ссора/примирение，合并碎片，待核）
[316] такимижекакмы | 其他 | 和我们一样的（такие же, как мы，合并碎片，待核）
[317] тыэтознаешь | 其他 | 你知道这个（ты это знаешь，合并短语）
[318] утебякак | 其他 | 你那边怎样（у тебя как，合并短语）
[319] утебякрасивыйкот | 其他 | 你有只漂亮的猫（у тебя красивый кот，合并碎片，待核）
[320] чернаяэтокитай | 其他 | 黑色，这是中国（чёрная, это Китай，合并碎片，待核）
[321] чтосиний | 其他 | 什么是蓝色（что синий，合并碎片，待核）
[322] чуть-чутьтрудно | 其他 | 有点难（чуть-чуть трудно，合并短语）
[323] этомоясемья | 其他 | 这是我的家人（это моя семья，合并短语）
[324] опоздатьнапоезд | 动词 | 误了火车（опоздать на поезд，合并短语）
[325] рублейхватитнамесяц | 其他 | 卢布够用一个月（рублей хватит на месяц，合并碎片，待核）
[326] асколькостоит | 其他 | 那多少钱（а сколько стоит，合并短语）
[327] еезовуткола | 其他 | 她叫科拉（её зовут Кола，合并碎片，待核）
[328] кошкакошечка | 名词 | 猫/小猫（кошка/кошечка，合并碎片，待核）
[329] красиваякошка | 其他 | 漂亮的猫（красивая кошка，合并短语）
[330] огокрасивыйкот | 其他 | 哦，漂亮的猫（ого, красивый кот，合并碎片，待核）
[331] блюдогречкасотбивной | 名词 | 荞麦饭配炸肉排（блюдо: гречка с отбивной，合并短语）
[332] апоняла | 其他 | 啊，明白了（а поняла，合并短语）
[333] амясные | 其他 | 啊，肉类的（а мясные，合并碎片，待核）
[334] аостальное-всехорошо | 其他 | 其余都好（а остальное — всё хорошо，合并碎片，待核）
[335] арусскуюедуготовишь | 其他 | 你做俄餐吗（а русскую еду готовишь，合并碎片，待核）
[336] ахотел | 其他 | 啊，我想（а хотел，合并碎片，待核）
[337] аахорошо | 其他 | 啊，好（а, хорошо，合并碎片，待核）
[338] ааапоняла | 其他 | 啊啊，明白了（аа, поняла，合并碎片，待核）
[339] ааахаха | 其他 | 啊哈哈（ааа, ха-ха，合并碎片，待核）
[340] аааяпонял | 其他 | 啊啊，我懂了（ааа, я понял，合并碎片，待核）
[341] аааааяпонял | 其他 | 啊啊啊，我懂了（ааааа, я понял，合并碎片，待核）
[342] агаяпонял | 其他 | 啊，我懂了（а, я понял，合并碎片，待核）
[343] вареники | 名词 | 乌克兰饺子；小圆面包
[344] вкуссоленый | 形容词 | 咸味（вкус солёный，合并短语）
[345] вообщемвсехорошо | 其他 | 总之都好（вообще всё хорошо，合并碎片，待核）
[346] вреднаяпривычка | 名词 | 坏习惯（вредная привычка）
[347] давайзакажемдоставку | 其他 | 我们点外卖吧（давай закажем доставку，合并碎片，待核）
[348] доставкаеды | 名词 | 送餐；外卖（доставка еды）
[349] завтракобедужин | 名词 | 早/午/晚餐（завтрак/обед/ужин，合并碎片，待核）
[350] изчегоонисделаны | 其他 | 它们用什么做的（из чего они сделаны，合并碎片，待核）
[351] мойобед | 名词 | 我的午餐（мой обед）
[352] мойужин | 名词 | 我的晚餐（мой ужин）
[353] напримерхахахаха | 其他 | 比如，哈哈哈（например, ха-ха-ха-ха，合并碎片，待核）
[354] несучно | 副词 | 不无聊（не скучно，合并词）
[355] неттолькораки | 其他 | 不，只有螃蟹（нет, только раки，合并碎片，待核）
[356] ноянехочуспать | 其他 | 但我不想睡（но я не хочу спать，合并碎片，待核）
[357] новыйучитель | 名词 | 新老师（новый учитель）
[358] нуюханьесть | 其他 | 武汉有（в Ухане есть，合并碎片，待核）
[359] нухотядаэтотакоеесть | 其他 | 嗯，不过确实有这种（ну, хотя да, это такое есть，合并碎片，待核）
[360] нуясегодняоченьрад | 其他 | 嗯，我今天很高兴（ну, я сегодня очень рад，合并碎片，待核）
[361] оэтовареники | 其他 | 哦，这是乌克兰饺子（о, это вареники，合并碎片，待核）
[362] оплохиеновости | 名词 | 坏消息（плохие новости，合并碎片，待核）
[363] огомолодец | 其他 | 哦，真棒（ого, молодец，合并碎片，待核）
[364] огояпонял | 其他 | 哦，我懂了（ого, я понял，合并碎片，待核）
[365] оченьвкусно | 副词 | 很好吃（очень вкусно，合并短语）
[366] паровыекрабы | 名词 | 蒸蟹（паровые крабы）
[367] сднемрождениядяди | 其他 | 叔叔生日快乐（с днём рождения дяди，合并碎片，待核）
[368] свининамукаисоус | 名词 | 猪肉、面粉和酱（свинина/мука/соус，合并碎片，待核）
[369] сейчасяемвиноград | 其他 | 现在我在吃葡萄（сейчас я ем виноград，合并碎片，待核）
[370] сколькоградусов | 其他 | 多少度（сколько градусов，合并短语）
[371] спортспортзал | 名词 | 运动/健身房（спорт/спортзал，合并碎片，待核）
[372] суплапшовый | 形容词 | 面汤的（суп лапшовый，合并短语）
[373] тортсникерс | 名词 | 士力架蛋糕（торт с Никерс）
[374] тортик | 名词 | 小蛋糕；蛋糕（ласк. от торт）
[375] тыелкрабы | 其他 | 你吃过蟹吗（ты ел крабы，合并碎片，待核）
[376] тымолодец | 其他 | 你真棒（ты молодец，合并短语）
[377] уменяболитголова | 其他 | 我头疼（у меня болит голова，合并碎片，待核）
[378] уменяестьбрата | 其他 | 我有兄弟（у меня есть брата，合并碎片，待核）
[379] утебяестьстраницаввк | 其他 | 你有 VK 主页吗（у тебя есть страница в ВК，合并碎片，待核）
[380] хорошояпонял | 其他 | 好，我懂了（хорошо, я понял，合并碎片，待核）
[381] хорошопоняла | 其他 | 好，明白了（хорошо, поняла，合并碎片，待核）
[382] хорошодавай | 其他 | 好，来吧（хорошо, давай，合并碎片，待核）
[383] хорошомолодец | 其他 | 好，真棒（хорошо, молодец，合并碎片，待核）
[384] чтосникерс | 其他 | 什么是士力架（что с Никерс，合并碎片，待核）
[385] чтотебенравится | 其他 | 你喜欢什么（что тебе нравится，合并短语）
[386] чтотыделаешь | 其他 | 你在做什么（что ты делаешь，合并短语）
[387] чтотыела | 其他 | 你吃了什么（что ты ела，合并短语）
[388] чтотысъела | 其他 | 你吃了什么（что ты съела，合并短语）
[389] шоколадныйторт | 名词 | 巧克力蛋糕（шоколадный торт）
[390] этобылобыздорово | 其他 | 那太好了（это было бы здорово，合并碎片，待核）
[391] этосырныепалочки | 其他 | 这是芝士条（это сырные палочки，合并短语）
[392] эхнупростобеда | 其他 | 唉，真糟糕（эх, ну просто беда，合并碎片，待核）
