Азия, 亚洲
отличие, 区别，不同，卓越
отношение, 态度；关系；比例
отпуск, 假期，休假
оттенок, 色调；细微差别
отъезд, 离开，出发
очередь, 队伍，轮次，次序
палец, 手指，脚趾
памятник, 纪念碑，古迹
парашют, 降落伞
парус, 帆
пасть, (野兽的) 口，嘴
пациент, 病人，患者
пенсне, 夹鼻眼镜 (不变格)
перевозка, 运输，运送
переговоры, 谈判，交涉 (只用复数)
передача, 传递；广播节目；移交
перспектива, 前景，远景，透视
пессимист, 悲观主义者
платье, 连衣裙，衣服
плечо, 肩膀
плодородие, 肥沃，多产
победитель, 胜利者
повод, 理由，借口，缰绳
поднятие, 举起，提高，上升
поезд, 火车，列车
пожар, 火灾
пожилая дама, 老妇人，年长的女士
поиск, 寻找，搜索
покраска, 涂色；油漆
полдня, 半天
политик, 政治家
политика, 政治，政策
полоса, 条纹；地带；时期
полутон, 半音，中间色调
понятие, 概念；理解
порог, 门槛，界限，阈值
порода, 品种，岩石，门第
послание, 寄语，信息，信件
постановка, 上演，设置，提出
посуда, 餐具
почва, 土壤，地基，基础
правоучение, 法学 (相对罕见，可能指法理学)
предостережение, 警告；预警
преступник, 罪犯
приз, 奖品；奖
призыв, 号召，呼吁，征召
приказ, 命令，指令
примирение, 和解，调解
принтер, 打印机
проведение, 举行，进行，引导
прогресс, 进步，发展
продукт, 产品，食品
проект, 项目，计划，草案
просьба, 请求
протяжённость, 长度，延伸，广延
процветание, 繁荣；兴旺
процесс, 过程，进程
пружина, 弹簧
пустота, 空虚，真空
пыль, 灰尘，尘埃
работодатель, 雇主
разведение, 繁殖，饲养，培育
развитие, 发展；发育
рамка, 框架，范围 (复数)
рана, 伤口，创伤
расположение, 位置，排列，倾向
растение, 植物
ребро, 肋骨，边缘，棱
режим, 制度；模式；作息
реклама, 广告
религия, 宗教
ремонт, 修理，装修
республика, 共和国
рефлекс, 反射；本能反应
ровесник, 同龄人
рюкзак, 背包
сборник, 文集，汇编
свет, 光；世界
селение, 村落，居民点
село, 村庄；农村
серия, 系列，批次
сирота, 孤儿
скала, 岩石；悬崖
слон, 大象 / (国际象棋中的) 象
слух, 听觉，传闻，谣言
снижение, 降低；下降
совещание, 会议；协商
согласие, 同意；一致
содержание, 内容，保养，目录
солнце, 太阳
сомнение, 怀疑，疑虑
сопротивление, 抵抗；阻力
соревнование, 比赛，竞赛
состав, 成分，组成，列车
сострадание, 同情，怜悯
спина, 背部
спутник, 伴侣，旅伴，卫星
сравнение, 比较
среда, 星期三 / 环境，界
средство, 手段；方法；资金 (pl.)
срок, 期限
статистика, 统计，统计学
стекло, 玻璃
степень, 程度；等级；学位
степь, 草原
стилистика, 修辞学，文体学
столетие, 世纪；百年
сторона, 方面，方向，边
страница, 页，篇章
строение, 结构，构造，建筑物
струйка, 细流
супруг, 丈夫
схватка, 搏斗，交锋，冲突
сходство, 相似点，相似性
сцена, 舞台；场景
таблетка, 药片；平板
творчество, 创作；作品
тематика, 题材，主题
течение, 水流；流派；过程
титул, 头衔；称号
тонус, 张力，活力，状态
традиция, 传统
тренер, 教练
труд, 劳动；著作
укрепление, 巩固，加强，堡垒
упасть, 跌倒，掉落，下降
управление, 管理，控制，驾驶
установление, 建立，确立，规定
учреждение, 机构；机关；设立
ферзь, (国际象棋中的) 后
фестиваль, 节日；会演
фигурка, 小雕像，小图形
финиш, 终点；结束
фонд, 基金；基金会；储备
формат, 格式；形式
фотоаппарат, 照相机
фрегат, 护卫舰
фронт, 前线，阵线，锋面
характеристика, 特征，特性，评语
хвост, 尾巴，末尾
хранение, 保管，保存，储藏
ценность, 价值，珍贵物品
частица, 粒子；小部分
черта, 特征，线条，界限
чиновник, 官员，官僚
чудовище, 怪物，庞然大物
шар, 球，球体
шерсть, 毛，羊毛
штора, 窗帘
шёпот, 耳语，低语
экипаж, 乘务组；机组；船员
эксплуатация, 剥削，开发，使用(机器等)
экспонат, 展品，陈列品
кусо́чек, 小块，碎片
счёт, 计算，账户，比分
проду́кты, 食品，农产品
жени́х, 未婚夫，新郎
слу́жба, 服务，工作，服役
кровь, 血，血液
бой, 战斗，战役
генера́л, 将军
долг, 职责，债务，义务
церемо́ния, 仪式，典礼
гармо́ния, 和谐，融洽
мно́жество, 许多，大量
раскры́тие, 揭露，展现，启示
разнови́дность, 种类，变体
сопровожде́ние, 伴随，伴奏，护送
сочета́ние, 结合，配合
листо́чек, 小叶子，便条纸
пове́рхность, 表面
выраже́ние, 表达，词语
наме́рение, 意图，打算
отве́тственность, 责任，职责
брак, 婚姻；次品，废品
