[1] авария | 名词 | 单数:主格 авария,属格 аварии,与格 аварии,宾格 аварию,工具格 аварией,前格 об аварии;复数:主格 аварии,属格 аварий,与格 авариям,宾格 аварии,工具格 авариями,前格 об авариях
[26] англичанин | 名词 | 单数:主格 англичанин,属格 англичанина,与格 англичанину,宾格 англичанина,工具格 англичанином,前格 об англичанине;复数:主格 англичане,属格 англичан,与格 англичанам,宾格 англичан,工具格 англичанами,前格 об англичанах
[27] андрей | 名词 | 单数:主格 андрей,属格 андрея,与格 андрею,宾格 андрея,工具格 андреем,前格 об андрее;复数:主格 андреи,属格 андреев,与格 андреям,宾格 андреев,工具格 андреями,前格 об андреях
[28] анекдот | 名词 | 单数:主格 анекдот,属格 анекдота,与格 анекдоту,宾格 анекдот,工具格 анекдотом,前格 об анекдоте;复数:主格 анекдоты,属格 анекдотов,与格 анекдотам,宾格 анекдоты,工具格 анекдотами,前格 об анекдотах
[29] аплодисменты | 名词 | 单数:主格 аплодисменты,属格 аплодисменты,与格 аплодисменты,宾格 аплодисменты,工具格 аплодисменты,前格 об аплодисменты;复数:主格 аплодисменты,属格 аплодисментов,与格 аплодисментам,宾格 аплодисменты,工具格 аплодисментами,前格 об аплодисментах
[30] апрель | 名词 | 单数:主格 апрель,属格 апреля,与格 апрелю,宾格 апрель,工具格 апрелем,前格 об апреле;复数:主格 апрели,属格 апрелей,与格 апрелям,宾格 апрели,工具格 апрелями,前格 об апрелях
[31] аптека | 名词 | 单数:主格 аптека,属格 аптеки,与格 аптеке,宾格 аптеку,工具格 аптекой,前格 об аптеке;复数:主格 аптеки,属格 аптек,与格 аптекам,宾格 аптеки,工具格 аптеками,前格 об аптеках
[32] аргумент | 名词 | 单数:主格 аргумент,属格 аргумента,与格 аргументу,宾格 аргумент,工具格 аргументом,前格 об аргументе;复数:主格 аргументы,属格 аргументов,与格 аргументам,宾格 аргументы,工具格 аргументами,前格 об аргументах
[33] армия | 名词 | 单数:主格 армия,属格 армии,与格 армии,宾格 армию,工具格 армией,前格 об армии;复数:主格 армии,属格 армий,与格 армиям,宾格 армии,工具格 армиями,前格 об армиях
[34] артист | 名词 | 单数:主格 артист,属格 артиста,与格 артисту,宾格 артиста,工具格 артистом,前格 об артисте;复数:主格 артисты,属格 артистов,与格 артистам,宾格 артистов,工具格 артистами,前格 об артистах
[35] археолог | 名词 | 单数:主格 археолог,属格 археолога,与格 археологу,宾格 археолога,工具格 археологом,前格 об археологе;复数:主格 археологи,属格 археологов,与格 археологам,宾格 археологов,工具格 археологами,前格 об археологах
[36] архитектор | 名词 | 单数:主格 архитектор,属格 архитектора,与格 архитектору,宾格 архитектора,工具格 архитектором,前格 об архитекторе;复数:主格 архитекторы,属格 архитекторов,与格 архитекторам,宾格 архитекторов,工具格 архитекторами,前格 об архитекторах
[37] архитектура | 名词 | 单数:主格 архитектура,属格 архитектуры,与格 архитектуре,宾格 архитектуру,工具格 архитектурой,前格 об архитектуре;复数:主格 архитектуры,属格 архитектур,与格 архитектурам,宾格 архитектуры,工具格 архитектурами,前格 об архитектурах
[38] ассоль | 名词 | 单数:主格 ассоль,属格 ассоль,与格 ассоль,宾格 ассоль,工具格 ассоль,前格 об ассоль;复数:主格 ассоль,属格 ассоль,与格 ассоль,宾格 ассоль,工具格 ассоль,前格 об ассоль
[39] атлетика | 名词 | 单数:主格 атлетика,属格 атлетики,与格 атлетике,宾格 атлетику,工具格 атлетикой,前格 об атлетике;复数:主格 атлетики,属格 атлетик,与格 атлетикам,宾格 атлетики,工具格 атлетиками,前格 об атлетиках
[40] аудирование | 名词 | 单数:主格 аудирование,属格 аудирования,与格 аудированию,宾格 аудирование,工具格 аудированием,前格 об аудировании;复数:主格 аудирование,属格 аудирование,与格 аудирование,宾格 аудирование,工具格 аудирование,前格 об аудирование
[41] африканец | 名词 | 单数:主格 африканец,属格 африканца,与格 африканцу,宾格 африканца,工具格 африканцем,前格 об африканце;复数:主格 африканцы,属格 африканцев,与格 африканцам,宾格 африканцев,工具格 африканцами,前格 об африканцах
[42] аэропорт | 名词 | 单数:主格 аэропорт,属格 аэропорта,与格 аэропорту,宾格 аэропорт,工具格 аэропортом,前格 об аэропорте;复数:主格 аэропорты,属格 аэропортов,与格 аэропортам,宾格 аэропорты,工具格 аэропортами,前格 об аэропортах
[43] бабушка | 名词 | 单数:主格 бабушка,属格 бабушки,与格 бабушке,宾格 бабушку,工具格 бабушкой,前格 о бабушке;复数:主格 бабушки,属格 бабушек,与格 бабушкам,宾格 бабушек,工具格 бабушками,前格 о бабушках
[44] багаж | 名词 | 单数:主格 багаж,属格 багажа,与格 багажу,宾格 багаж,工具格 багажом,前格 о багаже;复数:主格 багажи,属格 багажей,与格 багажам,宾格 багажи,工具格 багажами,前格 о багажах
[45] база | 名词 | 单数:主格 база,属格 базы,与格 базе,宾格 базу,工具格 базой,前格 о базе;复数:主格 базы,属格 баз,与格 базам,宾格 базы,工具格 базами,前格 о базах
[46] байбородин | 名词 | 单数:主格 байбородин,属格 байбородина,与格 байбородину,宾格 байбородина,工具格 байбородиным,前格 о байбородине;复数:主格 байбородины,属格 байбородиных,与格 байбородиным,宾格 байбородиных,工具格 байбородиными,前格 о байбородиных
[47] бал | 名词 | 单数:主格 бал,属格 бала,与格 балу,宾格 бал,工具格 балом,前格 о бале;复数:主格 балы,属格 балов,与格 балам,宾格 балы,工具格 балами,前格 о балах
[48] балет | 名词 | 单数:主格 балет,属格 балета,与格 балету,宾格 балет,工具格 балетом,前格 о балете;复数:主格 балеты,属格 балетов,与格 балетам,宾格 балеты,工具格 балетами,前格 о балетах
[49] балкон | 名词 | 单数:主格 балкон,属格 балкона,与格 балкону,宾格 балкон,工具格 балконом,前格 о балконе;复数:主格 балконы,属格 балконов,与格 балконам,宾格 балконы,工具格 балконами,前格 о балконах
[50] балл | 名词 | 单数:主格 балл,属格 балла,与格 баллу,宾格 балл,工具格 баллом,前格 о балле;复数:主格 баллы,属格 баллов,与格 баллам,宾格 баллы,工具格 баллами,前格 о баллах
[51] банк | 名词 | 单数:主格 банк,属格 банка,与格 банку,宾格 банк,工具格 банком,前格 о банке;复数:主格 банки,属格 банков,与格 банкам,宾格 банки,工具格 банками,前格 о банках
[52] банка | 名词 | 单数:主格 банк,属格 банка,与格 банку,宾格 банк,工具格 банком,前格 о банке;复数:主格 банки,属格 банков,与格 банкам,宾格 банки,工具格 банками,前格 о банках
[53] банкир | 名词 | 单数:主格 банкир,属格 банкира,与格 банкиру,宾格 банкира,工具格 банкиром,前格 о банкире;复数:主格 банкиры,属格 банкиров,与格 банкирам,宾格 банкиров,工具格 банкирами,前格 о банкирах
[54] бармин | 名词 | 单数:主格 бармин,属格 бармина,与格 бармину,宾格 бармина,工具格 барминым,前格 о бармине;复数:主格 бармины,属格 барминых,与格 барминым,宾格 барминых,工具格 бармиными,前格 о барминых
[55] барьер | 名词 | 单数:主格 барьер,属格 барьера,与格 барьеру,宾格 барьер,工具格 барьером,前格 о барьере;复数:主格 барьеры,属格 барьеров,与格 барьерам,宾格 барьеры,工具格 барьерами,前格 о барьерах
[56] бас | 名词 | 单数:主格 бас,属格 баса,与格 басу,宾格 баса,工具格 басом,前格 о басе;复数:主格 басы,属格 басов,与格 басам,宾格 басов,工具格 басами,前格 о басах
[57] баскетбол | 名词 | 单数:主格 баскетбол,属格 баскетбола,与格 баскетболу,宾格 баскетбол,工具格 баскетболом,前格 о баскетболе;复数:主格 баскетболы,属格 баскетболов,与格 баскетболам,宾格 баскетболы,工具格 баскетболами,前格 о баскетболах
[58] бегун | 名词 | 单数:主格 бегун,属格 бегуна,与格 бегуну,宾格 бегуна,工具格 бегуном,前格 о бегуне;复数:主格 бегуны,属格 бегунов,与格 бегунам,宾格 бегунов,工具格 бегунами,前格 о бегунах
[59] бедствие | 名词 | 单数:主格 бедствие,属格 бедствия,与格 бедствию,宾格 бедствие,工具格 бедствием,前格 о бедствии;复数:主格 бедствия,属格 бедствий,与格 бедствиям,宾格 бедствия,工具格 бедствиями,前格 о бедствиях
[60] безопасность | 名词 | 单数:主格 безопасность,属格 безопасности,与格 безопасности,宾格 безопасность,工具格 безопасностью,前格 о безопасности;复数:主格 безопасности,属格 безопасностей,与格 безопасностям,宾格 безопасности,工具格 безопасностями,前格 о безопасностях
[61] безопасный | 形容词 | 短尾:безопасен,безопасна,безопасно,безопасны;比较级:безопаснее
[62] белка | 名词 | 单数:主格 белок,属格 белка,与格 белку,宾格 белок,工具格 белком,前格 о белке;复数:主格 белки,属格 белков,与格 белкам,宾格 белки,工具格 белками,前格 о белках
[63] белок | 名词 | 单数:主格 белок,属格 белка,与格 белку,宾格 белок,工具格 белком,前格 о белке;复数:主格 белки,属格 белков,与格 белкам,宾格 белки,工具格 белками,前格 о белках
[64] бензин | 名词 | 单数:主格 бензин,属格 бензина,与格 бензину,宾格 бензин,工具格 бензином,前格 о бензине;复数:主格 бензины,属格 бензинов,与格 бензинам,宾格 бензины,工具格 бензинами,前格 о бензинах
[65] берег | 名词 | 单数:主格 берег,属格 берега,与格 берегу,宾格 берег,工具格 берегом,前格 о береге;复数:主格 берега,属格 берегов,与格 берегам,宾格 берега,工具格 берегами,前格 о берегах
[66] береза | 名词 | 单数:主格 берёза,属格 берёзы,与格 берёзе,宾格 берёзу,工具格 берёзой,前格 о берёзе;复数:主格 берёзы,属格 берёз,与格 берёзам,宾格 берёзы,工具格 берёзами,前格 о берёзах
[67] беседка | 名词 | 单数:主格 беседка,属格 беседки,与格 беседке,宾格 беседку,工具格 беседкой,前格 о беседке;复数:主格 беседки,属格 беседок,与格 беседкам,宾格 беседки,工具格 беседками,前格 о беседках
[68] библиотека | 名词 | 单数:主格 библиотека,属格 библиотеки,与格 библиотеке,宾格 библиотеку,工具格 библиотекой,前格 о библиотеке;复数:主格 библиотеки,属格 библиотек,与格 библиотекам,宾格 библиотеки,工具格 библиотеками,前格 о библиотеках
[69] бизнесмен | 名词 | 单数:主格 бизнесмен,属格 бизнесмена,与格 бизнесмену,宾格 бизнесмена,工具格 бизнесменом,前格 о бизнесмене;复数:主格 бизнесмены,属格 бизнесменов,与格 бизнесменам,宾格 бизнесменов,工具格 бизнесменами,前格 о бизнесменах
[70] билялетдинов | 名词 | 单数:主格 билялетдин,属格 билялетдина,与格 билялетдину,宾格 билялетдина,工具格 билялетдином,前格 о билялетдине;复数:主格 билялетдины,属格 билялетдинов,与格 билялетдинам,宾格 билялетдинов,工具格 билялетдинами,前格 о билялетдинах
[71] биография | 名词 | 单数:主格 биография,属格 биографии,与格 биографии,宾格 биографию,工具格 биографией,前格 о биографии;复数:主格 биографии,属格 биографий,与格 биографиям,宾格 биографии,工具格 биографиями,前格 о биографиях
[72] биолог | 名词 | 单数:主格 биолог,属格 биолога,与格 биологу,宾格 биолога,工具格 биологом,前格 о биологе;复数:主格 биологи,属格 биологов,与格 биологам,宾格 биологов,工具格 биологами,前格 о биологах
[73] биологический | 形容词 | 短尾:—,—,—,—;比较级:—
[74] благо | 名词 | 单数:主格 благо,属格 блага,与格 благу,宾格 благо,工具格 благом,前格 о благе;复数:主格 блага,属格 благ,与格 благам,宾格 блага,工具格 благами,前格 о благах
[75] бланк | 名词 | 单数:主格 бланк,属格 бланка,与格 бланку,宾格 бланк,工具格 бланком,前格 о бланке;复数:主格 бланки,属格 бланков,与格 бланкам,宾格 бланки,工具格 бланками,前格 о бланках
[76] блокнот | 名词 | 单数:主格 блокнот,属格 блокнота,与格 блокноту,宾格 блокнот,工具格 блокнотом,前格 о блокноте;复数:主格 блокноты,属格 блокнотов,与格 блокнотам,宾格 блокноты,工具格 блокнотами,前格 о блокнотах
[77] блюдо | 名词 | 单数:主格 блюдо,属格 блюда,与格 блюду,宾格 блюдо,工具格 блюдом,前格 о блюде;复数:主格 блюда,属格 блюд,与格 блюдам,宾格 блюда,工具格 блюдами,前格 о блюдах
[78] бог | 名词 | 单数:主格 бог,属格 бога,与格 богу,宾格 бога,工具格 богом,前格 о боге;复数:主格 боги,属格 богов,与格 богам,宾格 богов,工具格 богами,前格 о богах
[79] богатство | 名词 | 单数:主格 богатство,属格 богатства,与格 богатству,宾格 богатство,工具格 богатством,前格 о богатстве;复数:主格 богатства,属格 богатств,与格 богатствам,宾格 богатства,工具格 богатствами,前格 о богатствах
[80] богатый | 形容词 | 短尾:богат,богата,богато,богаты;比较级:богаче
[81] бой | 名词 | 单数:主格 бой,属格 боя,与格 бою,宾格 бой,工具格 боем,前格 о бое;复数:主格 бои,属格 боёв,与格 боям,宾格 бои,工具格 боями,前格 о боях
[82] болезнь | 名词 | 单数:主格 болезнь,属格 болезни,与格 болезни,宾格 болезнь,工具格 болезнью,前格 о болезни;复数:主格 болезни,属格 болезней,与格 болезням,宾格 болезни,工具格 болезнями,前格 о болезнях
[83] болельщик | 名词 | 单数:主格 болельщик,属格 болельщика,与格 болельщику,宾格 болельщика,工具格 болельщиком,前格 о болельщике;复数:主格 болельщики,属格 болельщиков,与格 болельщикам,宾格 болельщиков,工具格 болельщиками,前格 о болельщиках
[84] болото | 名词 | 单数:主格 болото,属格 болота,与格 болоту,宾格 болото,工具格 болотом,前格 о болоте;复数:主格 болота,属格 болот,与格 болотам,宾格 болота,工具格 болотами,前格 о болотах
[85] боль | 名词 | 单数:主格 боль,属格 боли,与格 боли,宾格 боль,工具格 болью,前格 о боли;复数:主格 боли,属格 болей,与格 болям,宾格 боли,工具格 болями,前格 о болях
[86] большинство | 名词 | 单数:主格 большинство,属格 большинства,与格 большинству,宾格 большинство,工具格 большинством,前格 о большинстве;复数:主格 большинство,属格 большинство,与格 большинство,宾格 большинство,工具格 большинство,前格 о большинство
[87] бомж | 名词 | 单数:主格 бомж,属格 бомжа,与格 бомжу,宾格 бомжа,工具格 бомжом,前格 о бомже;复数:主格 бомжи,属格 бомжей,与格 бомжам,宾格 бомжей,工具格 бомжами,前格 о бомжах
[88] борис | 名词 | 单数:主格 борис,属格 бориса,与格 борису,宾格 бориса,工具格 борисом,前格 о борисе;复数:主格 борисы,属格 борисов,与格 борисам,宾格 борисов,工具格 борисами,前格 о борисах
[89] борода | 名词 | 单数:主格 борода,属格 бороды,与格 бороде,宾格 бороду,工具格 бородой,前格 о бороде;复数:主格 бороды,属格 бород,与格 бородам,宾格 бороды,工具格 бородами,前格 о бородах
[90] борщ | 名词 | 单数:主格 борщ,属格 борща,与格 борщу,宾格 борщ,工具格 борщом,前格 о борще;复数:主格 борщи,属格 борщей,与格 борщам,宾格 борщи,工具格 борщами,前格 о борщах
[91] борьба | 名词 | 单数:主格 борьба,属格 борьбы,与格 борьбе,宾格 борьбу,工具格 борьбой,前格 о борьбе;复数:主格 борьба,属格 борьба,与格 борьба,宾格 борьба,工具格 борьба,前格 о борьба
[92] ботаник | 名词 | 单数:主格 ботаник,属格 ботаника,与格 ботанику,宾格 ботаника,工具格 ботаником,前格 о ботанике;复数:主格 ботаники,属格 ботаников,与格 ботаникам,宾格 ботаников,工具格 ботаниками,前格 о ботаниках
[93] ботаника | 名词 | 单数:主格 ботаника,属格 ботаники,与格 ботанике,宾格 ботанику,工具格 ботаникой,前格 о ботанике;复数:主格 ботаники,属格 ботаник,与格 ботаникам,宾格 ботаники,工具格 ботаниками,前格 о ботаниках
[94] брак | 名词 | 单数:主格 брак,属格 брака,与格 браку,宾格 брак,工具格 браком,前格 о браке;复数:主格 браки,属格 браков,与格 бракам,宾格 браки,工具格 браками,前格 о браках
[95] брюллов | 名词 | 单数:主格 брюллов,属格 брюллова,与格 брюллову,宾格 брюллова,工具格 брюлловым,前格 о брюллове;复数:主格 брюлловы,属格 брюлловых,与格 брюлловым,宾格 брюлловых,工具格 брюлловыми,前格 о брюлловых
[96] буддизм | 名词 | 单数:主格 буддизм,属格 буддизма,与格 буддизму,宾格 буддизм,工具格 буддизмом,前格 о буддизме;复数:主格 буддизмы,属格 буддизмов,与格 буддизмам,宾格 буддизмы,工具格 буддизмами,前格 о буддизмах
[97] будущее | 名词 | 单数:主格 будущее,属格 будущего,与格 будущему,宾格 будущее,工具格 будущим,前格 о будущем;复数:主格 будущие,属格 будущих,与格 будущим,宾格 будущие,工具格 будущими,前格 о будущих
[98] будущий | 形容词 | 短尾:будущ,будуща,будуще,будущи;比较级:—
[99] букет | 名词 | 单数:主格 букет,属格 букета,与格 букету,宾格 букет,工具格 букетом,前格 о букете;复数:主格 букеты,属格 букетов,与格 букетам,宾格 букеты,工具格 букетами,前格 о букетах
[100] бульвар | 名词 | 单数:主格 бульвар,属格 бульвара,与格 бульвару,宾格 бульвар,工具格 бульваром,前格 о бульваре;复数:主格 бульвары,属格 бульваров,与格 бульварам,宾格 бульвары,工具格 бульварами,前格 о бульварах
[101] буря | 名词 | 单数:主格 буря,属格 бури,与格 буре,宾格 бурю,工具格 бурей,前格 о буре;复数:主格 бури,属格 бурь,与格 бурям,宾格 бури,工具格 бурями,前格 о бурях
[102] бутерброд | 名词 | 单数:主格 бутерброд,属格 бутерброда,与格 бутерброду,宾格 бутерброд,工具格 бутербродом,前格 о бутерброде;复数:主格 бутерброды,属格 бутербродов,与格 бутербродам,宾格 бутерброды,工具格 бутербродами,前格 о бутербродах
[103] бывший | 形容词 | 短尾:—,—,—,—;比较级:—
[104] быстрый | 形容词 | 短尾:быстр,быстра,быстро,быстры;比较级:быстрее
[105] быт | 名词 | 单数:主格 быт,属格 быта,与格 быту,宾格 быт,工具格 бытом,前格 о быте;复数:主格 быт,属格 быт,与格 быт,宾格 быт,工具格 быт,前格 о быт
[106] бюро | 名词 | 单数:主格 бюро,属格 бюро,与格 бюро,宾格 бюро,工具格 бюро,前格 о бюро;复数:主格 бюро,属格 бюро,与格 бюро,宾格 бюро,工具格 бюро,前格 о бюро
[107] вагон | 名词 | 单数:主格 вагон,属格 вагона,与格 вагону,宾格 вагон,工具格 вагоном,前格 о вагоне;复数:主格 вагоны,属格 вагонов,与格 вагонам,宾格 вагоны,工具格 вагонами,前格 о вагонах
[108] вадим | 名词 | 单数:主格 вадим,属格 вадима,与格 вадиму,宾格 вадима,工具格 вадимом,前格 о вадиме;复数:主格 вадимы,属格 вадимов,与格 вадимам,宾格 вадимов,工具格 вадимами,前格 о вадимах
[109] ваза | 名词 | 单数:主格 ваза,属格 вазы,与格 вазе,宾格 вазу,工具格 вазой,前格 о вазе;复数:主格 вазы,属格 ваз,与格 вазам,宾格 вазы,工具格 вазами,前格 о вазах
[110] ванна | 名词 | 单数:主格 ванна,属格 ванны,与格 ванне,宾格 ванну,工具格 ванной,前格 о ванне;复数:主格 ванны,属格 ванн,与格 ваннам,宾格 ванны,工具格 ваннами,前格 о ваннах
[111] вариант | 名词 | 单数:主格 вариант,属格 варианта,与格 варианту,宾格 вариант,工具格 вариантом,前格 о варианте;复数:主格 варианты,属格 вариантов,与格 вариантам,宾格 варианты,工具格 вариантами,前格 о вариантах
[112] вдохновение | 名词 | 单数:主格 вдохновение,属格 вдохновения,与格 вдохновению,宾格 вдохновение,工具格 вдохновением,前格 о вдохновении;复数:主格 вдохновения,属格 вдохновений,与格 вдохновениям,宾格 вдохновения,工具格 вдохновениями,前格 о вдохновениях
[113] век | 名词 | 单数:主格 век,属格 века,与格 веку,宾格 век,工具格 веком,前格 о веке;复数:主格 века,属格 веков,与格 векам,宾格 века,工具格 веками,前格 о веках
[114] великолепный | 形容词 | 短尾:великолепен,великолепна,великолепно,великолепны;比较级:великолепнее
[115] велосипед | 名词 | 单数:主格 велосипед,属格 велосипеда,与格 велосипеду,宾格 велосипед,工具格 велосипедом,前格 о велосипеде;复数:主格 велосипеды,属格 велосипедов,与格 велосипедам,宾格 велосипеды,工具格 велосипедами,前格 о велосипедах
[116] верблюд | 名词 | 单数:主格 верблюд,属格 верблюда,与格 верблюду,宾格 верблюда,工具格 верблюдом,前格 о верблюде;复数:主格 верблюды,属格 верблюдов,与格 верблюдам,宾格 верблюдов,工具格 верблюдами,前格 о верблюдах
[117] вероятность | 名词 | 单数:主格 вероятность,属格 вероятности,与格 вероятности,宾格 вероятность,工具格 вероятностью,前格 о вероятности;复数:主格 вероятности,属格 вероятностей,与格 вероятностям,宾格 вероятности,工具格 вероятностями,前格 о вероятностях
[118] верх | 名词 | 单数:主格 верх,属格 верха,与格 верху,宾格 верх,工具格 верхом,前格 о верхе;复数:主格 верхи,属格 верхов,与格 верхам,宾格 верхи,工具格 верхами,前格 о верхах
[119] вес | 名词 | 单数:主格 вес,属格 веса,与格 весу,宾格 вес,工具格 весом,前格 о весе;复数:主格 веса,属格 весов,与格 весам,宾格 веса,工具格 весами,前格 о весах
[120] весна | 名词 | 单数:主格 весна,属格 весны,与格 весне,宾格 весну,工具格 весной,前格 о весне;复数:主格 вёсны,属格 вёсен,与格 вёснам,宾格 вёсны,工具格 вёснами,前格 о вёснах
[121] ветеран | 名词 | 单数:主格 ветеран,属格 ветерана,与格 ветерану,宾格 ветерана,工具格 ветераном,前格 о ветеране;复数:主格 ветераны,属格 ветеранов,与格 ветеранам,宾格 ветеранов,工具格 ветеранами,前格 о ветеранах
[122] вечер | 名词 | 单数:主格 вечер,属格 вечера,与格 вечеру,宾格 вечер,工具格 вечером,前格 о вечере;复数:主格 вечера,属格 вечеров,与格 вечерам,宾格 вечера,工具格 вечерами,前格 о вечерах
[123] вечеринка | 名词 | 单数:主格 вечеринка,属格 вечеринки,与格 вечеринке,宾格 вечеринку,工具格 вечеринкой,前格 о вечеринке;复数:主格 вечеринки,属格 вечеринок,与格 вечеринкам,宾格 вечеринки,工具格 вечеринками,前格 о вечеринках
[124] вещь | 名词 | 单数:主格 вещь,属格 вещи,与格 вещи,宾格 вещь,工具格 вещью,前格 о вещи;复数:主格 вещи,属格 вещей,与格 вещам,宾格 вещи,工具格 вещами,前格 о вещах
[125] вид | 名词 | 单数:主格 вид,属格 вида,与格 виду,宾格 вид,工具格 видом,前格 о виде;复数:主格 виды,属格 видов,与格 видам,宾格 виды,工具格 видами,前格 о видах
[126] видео | 名词 | 单数:主格 видео,属格 видео,与格 видео,宾格 видео,工具格 видео,前格 о видео;复数:主格 видео,属格 видео,与格 видео,宾格 видео,工具格 видео,前格 о видео
[127] вино | 名词 | 单数:主格 вино,属格 вина,与格 вину,宾格 вино,工具格 вином,前格 о вине;复数:主格 вина,属格 вин,与格 винам,宾格 вина,工具格 винами,前格 о винах
